stage,metric,value
load,duration_sec,625.385
load,areas_rows,30
load,competitions_rows,30
load,teams_rows,16500
load,matches_rows,125400
load,standings_rows,16500
validation_E,soda_sec,8.039
validation_E,soda_sec_std,0.28
validation_E,soda_cpu,0.133
validation_E,soda_cpu_std,0.125
validation_E,soda_ram_kb,261872.0
validation_E,soda_ram_kb_std,5.657
validation_E,soda_checks,7
validation_E,soda_failed,0
validation_E,soda_repeats,3
validation_T,deequ_sec,18.576
validation_T,deequ_sec_std,0.179
validation_T,deequ_cpu,0.1
validation_T,deequ_cpu_std,0.0
validation_T,deequ_ram_kb,261878.0
validation_T,deequ_ram_kb_std,2.828
validation_T,deequ_checks,10
validation_T,deequ_failed,1
validation_T,deequ_repeats,3
validation_L,soda_sec,4.858
validation_L,soda_sec_std,0.312
validation_L,soda_cpu,0.067
validation_L,soda_cpu_std,0.094
validation_L,soda_ram_kb,261888.0
validation_L,soda_ram_kb_std,0.0
validation_L,soda_checks,3
validation_L,soda_failed,0
validation_L,soda_repeats,3
mutation_1_validation_E,soda_sec,0.62
mutation_1_validation_E,soda_sec_std,0.105
mutation_1_validation_E,soda_cpu,1.667
mutation_1_validation_E,soda_cpu_std,0.262
mutation_1_validation_E,soda_ram_kb,293233.333
mutation_1_validation_E,soda_ram_kb_std,482.718
mutation_1_validation_E,soda_checks,7
mutation_1_validation_E,soda_failed,2
mutation_1_validation_E,soda_repeats,3
mutation_1_validation_T,deequ_sec,0.831
mutation_1_validation_T,deequ_sec_std,0.082
mutation_1_validation_T,deequ_cpu,1.567
mutation_1_validation_T,deequ_cpu_std,0.464
mutation_1_validation_T,deequ_ram_kb,292038.667
mutation_1_validation_T,deequ_ram_kb_std,241.359
mutation_1_validation_T,deequ_checks,10
mutation_1_validation_T,deequ_failed,5
mutation_1_validation_T,deequ_repeats,3
mutation_1_validation_L,soda_sec,0.264
mutation_1_validation_L,soda_sec_std,0.016
mutation_1_validation_L,soda_cpu,2.4
mutation_1_validation_L,soda_cpu_std,1.699
mutation_1_validation_L,soda_ram_kb,291868.0
mutation_1_validation_L,soda_ram_kb_std,0.0
mutation_1_validation_L,soda_checks,3
mutation_1_validation_L,soda_failed,0
mutation_1_validation_L,soda_repeats,3
mutation_2_validation_E,soda_sec,0.535
mutation_2_validation_E,soda_sec_std,0.019
mutation_2_validation_E,soda_cpu,1.9
mutation_2_validation_E,soda_cpu_std,0.082
mutation_2_validation_E,soda_ram_kb,289108.0
mutation_2_validation_E,soda_ram_kb_std,0.0
mutation_2_validation_E,soda_checks,7
mutation_2_validation_E,soda_failed,0
mutation_2_validation_E,soda_repeats,3
mutation_2_validation_T,deequ_sec,0.815
mutation_2_validation_T,deequ_sec_std,0.054
mutation_2_validation_T,deequ_cpu,1.7
mutation_2_validation_T,deequ_cpu_std,0.707
mutation_2_validation_T,deequ_ram_kb,289108.0
mutation_2_validation_T,deequ_ram_kb_std,0.0
mutation_2_validation_T,deequ_checks,10
mutation_2_validation_T,deequ_failed,3
mutation_2_validation_T,deequ_repeats,3
mutation_2_validation_L,soda_sec,0.305
mutation_2_validation_L,soda_sec_std,0.058
mutation_2_validation_L,soda_cpu,2.2
mutation_2_validation_L,soda_cpu_std,3.111
mutation_2_validation_L,soda_ram_kb,289112.0
mutation_2_validation_L,soda_ram_kb_std,0.0
mutation_2_validation_L,soda_checks,3
mutation_2_validation_L,soda_failed,0
mutation_2_validation_L,soda_repeats,3
mutation_3_validation_E,soda_sec,0.443
mutation_3_validation_E,soda_sec_std,0.057
mutation_3_validation_E,soda_cpu,1.767
mutation_3_validation_E,soda_cpu_std,2.498
mutation_3_validation_E,soda_ram_kb,290246.667
mutation_3_validation_E,soda_ram_kb_std,241.359
mutation_3_validation_E,soda_checks,7
mutation_3_validation_E,soda_failed,1
mutation_3_validation_E,soda_repeats,3
mutation_3_validation_T,deequ_sec,0.674
mutation_3_validation_T,deequ_sec_std,0.035
mutation_3_validation_T,deequ_cpu,2.067
mutation_3_validation_T,deequ_cpu_std,1.464
mutation_3_validation_T,deequ_ram_kb,288369.333
mutation_3_validation_T,deequ_ram_kb_std,482.718
mutation_3_validation_T,deequ_checks,10
mutation_3_validation_T,deequ_failed,2
mutation_3_validation_T,deequ_repeats,3
mutation_3_validation_L,soda_sec,0.245
mutation_3_validation_L,soda_sec_std,0.044
mutation_3_validation_L,soda_cpu,0.0
mutation_3_validation_L,soda_cpu_std,0.0
mutation_3_validation_L,soda_ram_kb,288028.0
mutation_3_validation_L,soda_ram_kb_std,0.0
mutation_3_validation_L,soda_checks,3
mutation_3_validation_L,soda_failed,1
mutation_3_validation_L,soda_repeats,3
mutation_4_validation_E,soda_sec,0.516
mutation_4_validation_E,soda_sec_std,0.082
mutation_4_validation_E,soda_cpu,1.3
mutation_4_validation_E,soda_cpu_std,0.963
mutation_4_validation_E,soda_ram_kb,298064.0
mutation_4_validation_E,soda_ram_kb_std,0.0
mutation_4_validation_E,soda_checks,7
mutation_4_validation_E,soda_failed,2
mutation_4_validation_E,soda_repeats,3
mutation_4_validation_T,deequ_sec,0.737
mutation_4_validation_T,deequ_sec_std,0.097
mutation_4_validation_T,deequ_cpu,1.867
mutation_4_validation_T,deequ_cpu_std,0.881
mutation_4_validation_T,deequ_ram_kb,297552.0
mutation_4_validation_T,deequ_ram_kb_std,418.046
mutation_4_validation_T,deequ_checks,10
mutation_4_validation_T,deequ_failed,5
mutation_4_validation_T,deequ_repeats,3
mutation_4_validation_L,soda_sec,0.213
mutation_4_validation_L,soda_sec_std,0.048
mutation_4_validation_L,soda_cpu,1.2
mutation_4_validation_L,soda_cpu_std,1.697
mutation_4_validation_L,soda_ram_kb,297040.0
mutation_4_validation_L,soda_ram_kb_std,0.0
mutation_4_validation_L,soda_checks,3
mutation_4_validation_L,soda_failed,0
mutation_4_validation_L,soda_repeats,3
mutation_5_validation_E,soda_sec,0.496
mutation_5_validation_E,soda_sec_std,0.069
mutation_5_validation_E,soda_cpu,1.867
mutation_5_validation_E,soda_cpu_std,1.408
mutation_5_validation_E,soda_ram_kb,296089.333
mutation_5_validation_E,soda_ram_kb_std,241.359
mutation_5_validation_E,soda_checks,7
mutation_5_validation_E,soda_failed,1
mutation_5_validation_E,soda_repeats,3
mutation_5_validation_T,deequ_sec,0.687
mutation_5_validation_T,deequ_sec_std,0.067
