stage,metric,value
load,duration_sec,626.297
load,areas_rows,30
load,competitions_rows,30
load,teams_rows,16500
load,matches_rows,125400
load,standings_rows,16500
validation_E,soda_sec,7.608
validation_E,soda_sec_std,0.512
validation_E,soda_cpu,0.1
validation_E,soda_cpu_std,0.0
validation_E,soda_ram_kb,261648.0
validation_E,soda_ram_kb_std,5.657
validation_E,soda_checks,7
validation_E,soda_failed,0
validation_E,soda_repeats,3
validation_T,sql_sec,14.402
validation_T,sql_sec_std,0.113
validation_T,sql_cpu,0.067
validation_T,sql_cpu_std,0.047
validation_T,sql_ram_kb,261652.0
validation_T,sql_ram_kb_std,0.0
validation_T,sql_checks,7
validation_T,sql_failed,1
validation_T,sql_repeats,3
validation_L,soda_sec,4.253
validation_L,soda_sec_std,0.053
validation_L,soda_cpu,0.067
validation_L,soda_cpu_std,0.094
validation_L,soda_ram_kb,261660.667
validation_L,soda_ram_kb_std,3.399
validation_L,soda_checks,3
validation_L,soda_failed,0
validation_L,soda_repeats,3
mutation_1_validation_E,soda_sec,0.57
mutation_1_validation_E,soda_sec_std,0.087
mutation_1_validation_E,soda_cpu,1.233
mutation_1_validation_E,soda_cpu_std,1.744
mutation_1_validation_E,soda_ram_kb,290786.667
mutation_1_validation_E,soda_ram_kb_std,241.359
mutation_1_validation_E,soda_checks,7
mutation_1_validation_E,soda_failed,2
mutation_1_validation_E,soda_repeats,3
mutation_1_validation_T,sql_sec,0.799
mutation_1_validation_T,sql_sec_std,0.161
mutation_1_validation_T,sql_cpu,1.167
mutation_1_validation_T,sql_cpu_std,1.027
mutation_1_validation_T,sql_ram_kb,290616.0
mutation_1_validation_T,sql_ram_kb_std,0.0
mutation_1_validation_T,sql_checks,7
mutation_1_validation_T,sql_failed,5
mutation_1_validation_T,sql_repeats,3
mutation_1_validation_L,soda_sec,0.278
mutation_1_validation_L,soda_sec_std,0.043
mutation_1_validation_L,soda_cpu,3.7
mutation_1_validation_L,soda_cpu_std,2.729
mutation_1_validation_L,soda_ram_kb,290616.0
mutation_1_validation_L,soda_ram_kb_std,0.0
mutation_1_validation_L,soda_checks,3
mutation_1_validation_L,soda_failed,0
mutation_1_validation_L,soda_repeats,3
mutation_2_validation_E,soda_sec,0.617
mutation_2_validation_E,soda_sec_std,0.114
mutation_2_validation_E,soda_cpu,1.8
mutation_2_validation_E,soda_cpu_std,1.395
mutation_2_validation_E,soda_ram_kb,291158.667
mutation_2_validation_E,soda_ram_kb_std,241.359
mutation_2_validation_E,soda_checks,7
mutation_2_validation_E,soda_failed,0
mutation_2_validation_E,soda_repeats,3
mutation_2_validation_T,sql_sec,0.733
mutation_2_validation_T,sql_sec_std,0.088
mutation_2_validation_T,sql_cpu,1.4
mutation_2_validation_T,sql_cpu_std,0.141
mutation_2_validation_T,sql_ram_kb,290988.0
mutation_2_validation_T,sql_ram_kb_std,0.0
mutation_2_validation_T,sql_checks,7
mutation_2_validation_T,sql_failed,2
mutation_2_validation_T,sql_repeats,3
mutation_2_validation_L,soda_sec,0.294
mutation_2_validation_L,soda_sec_std,0.087
mutation_2_validation_L,soda_cpu,2.167
mutation_2_validation_L,soda_cpu_std,1.682
mutation_2_validation_L,soda_ram_kb,290992.0
mutation_2_validation_L,soda_ram_kb_std,0.0
mutation_2_validation_L,soda_checks,3
mutation_2_validation_L,soda_failed,0
mutation_2_validation_L,soda_repeats,3
mutation_3_validation_E,soda_sec,0.452
mutation_3_validation_E,soda_sec_std,0.024
mutation_3_validation_E,soda_cpu,2.233
mutation_3_validation_E,soda_cpu_std,0.094
mutation_3_validation_E,soda_ram_kb,291980.0
mutation_3_validation_E,soda_ram_kb_std,0.0
mutation_3_validation_E,soda_checks,7
mutation_3_validation_E,soda_failed,1
mutation_3_validation_E,soda_repeats,3
mutation_3_validation_T,sql_sec,0.477
mutation_3_validation_T,sql_sec_std,0.038
mutation_3_validation_T,sql_cpu,2.0
mutation_3_validation_T,sql_cpu_std,1.558
mutation_3_validation_T,sql_ram_kb,291980.0
mutation_3_validation_T,sql_ram_kb_std,0.0
mutation_3_validation_T,sql_checks,7
mutation_3_validation_T,sql_failed,2
mutation_3_validation_T,sql_repeats,3
mutation_3_validation_L,soda_sec,0.265
mutation_3_validation_L,soda_sec_std,0.041
mutation_3_validation_L,soda_cpu,2.8
mutation_3_validation_L,soda_cpu_std,2.022
mutation_3_validation_L,soda_ram_kb,291980.0
mutation_3_validation_L,soda_ram_kb_std,0.0
mutation_3_validation_L,soda_checks,3
mutation_3_validation_L,soda_failed,1
mutation_3_validation_L,soda_repeats,3
mutation_4_validation_E,soda_sec,0.454
mutation_4_validation_E,soda_sec_std,0.093
mutation_4_validation_E,soda_cpu,1.933
mutation_4_validation_E,soda_cpu_std,1.427
mutation_4_validation_E,soda_ram_kb,299880.0
mutation_4_validation_E,soda_ram_kb_std,0.0
mutation_4_validation_E,soda_checks,7
mutation_4_validation_E,soda_failed,2
mutation_4_validation_E,soda_repeats,3
mutation_4_validation_T,sql_sec,0.614
mutation_4_validation_T,sql_sec_std,0.08
mutation_4_validation_T,sql_cpu,1.833
mutation_4_validation_T,sql_cpu_std,1.65
mutation_4_validation_T,sql_ram_kb,299368.0
mutation_4_validation_T,sql_ram_kb_std,418.046
mutation_4_validation_T,sql_checks,7
mutation_4_validation_T,sql_failed,5
mutation_4_validation_T,sql_repeats,3
mutation_4_validation_L,soda_sec,0.253
mutation_4_validation_L,soda_sec_std,0.063
mutation_4_validation_L,soda_cpu,0.967
mutation_4_validation_L,soda_cpu_std,1.367
mutation_4_validation_L,soda_ram_kb,298856.0
mutation_4_validation_L,soda_ram_kb_std,0.0
mutation_4_validation_L,soda_checks,3
mutation_4_validation_L,soda_failed,0
mutation_4_validation_L,soda_repeats,3
mutation_5_validation_E,soda_sec,0.485
mutation_5_validation_E,soda_sec_std,0.021
mutation_5_validation_E,soda_cpu,2.033
mutation_5_validation_E,soda_cpu_std,1.674
mutation_5_validation_E,soda_ram_kb,298672.0
mutation_5_validation_E,soda_ram_kb_std,418.046
mutation_5_validation_E,soda_checks,7
mutation_5_validation_E,soda_failed,1
mutation_5_validation_E,soda_repeats,3
mutation_5_validation_T,sql_sec,0.547
mutation_5_validation_T,sql_sec_std,0.083
mutation_5_validation_T,sql_cpu,1.1
mutation_5_validation_T,sql_cpu_std,0.779
mutation_5_validation_T,sql_ram_kb,298160.0
