stage,metric,value
load,duration_sec,639.978
load,areas_rows,30
load,competitions_rows,30
load,teams_rows,16500
load,matches_rows,125400
load,standings_rows,16500
validation_E,deequ_sec,18.038
validation_E,deequ_sec_std,0.52
validation_E,deequ_cpu,0.167
validation_E,deequ_cpu_std,0.047
validation_E,deequ_ram_kb,261774.0
validation_E,deequ_ram_kb_std,7.483
validation_E,deequ_checks,17
validation_E,deequ_failed,1
validation_E,deequ_repeats,3
validation_T,deequ_sec,18.728
validation_T,deequ_sec_std,0.269
validation_T,deequ_cpu,0.1
validation_T,deequ_cpu_std,0.0
validation_T,deequ_ram_kb,261791.333
validation_T,deequ_ram_kb_std,0.943
validation_T,deequ_checks,10
validation_T,deequ_failed,1
validation_T,deequ_repeats,3
validation_L,deequ_sec,7.906
validation_L,deequ_sec_std,0.195
validation_L,deequ_cpu,0.1
validation_L,deequ_cpu_std,0.0
validation_L,deequ_ram_kb,261795.333
validation_L,deequ_ram_kb_std,0.943
validation_L,deequ_checks,5
validation_L,deequ_failed,0
validation_L,deequ_repeats,3
mutation_1_validation_E,deequ_sec,1.0
mutation_1_validation_E,deequ_sec_std,0.143
mutation_1_validation_E,deequ_cpu,2.4
mutation_1_validation_E,deequ_cpu_std,0.572
mutation_1_validation_E,deequ_ram_kb,291862.667
mutation_1_validation_E,deequ_ram_kb_std,638.576
mutation_1_validation_E,deequ_checks,17
mutation_1_validation_E,deequ_failed,5
mutation_1_validation_E,deequ_repeats,3
mutation_1_validation_T,deequ_sec,0.759
mutation_1_validation_T,deequ_sec_std,0.142
mutation_1_validation_T,deequ_cpu,1.933
mutation_1_validation_T,deequ_cpu_std,1.04
mutation_1_validation_T,deequ_ram_kb,291180.0
mutation_1_validation_T,deequ_ram_kb_std,0.0
mutation_1_validation_T,deequ_checks,10
mutation_1_validation_T,deequ_failed,5
mutation_1_validation_T,deequ_repeats,3
mutation_1_validation_L,deequ_sec,0.295
mutation_1_validation_L,deequ_sec_std,0.033
mutation_1_validation_L,deequ_cpu,1.167
mutation_1_validation_L,deequ_cpu_std,1.65
mutation_1_validation_L,deequ_ram_kb,291180.0
mutation_1_validation_L,deequ_ram_kb_std,0.0
mutation_1_validation_L,deequ_checks,5
mutation_1_validation_L,deequ_failed,0
mutation_1_validation_L,deequ_repeats,3
mutation_2_validation_E,deequ_sec,0.952
mutation_2_validation_E,deequ_sec_std,0.119
mutation_2_validation_E,deequ_cpu,2.1
mutation_2_validation_E,deequ_cpu_std,0.787
mutation_2_validation_E,deequ_ram_kb,287380.0
mutation_2_validation_E,deequ_ram_kb_std,0.0
mutation_2_validation_E,deequ_checks,17
mutation_2_validation_E,deequ_failed,1
mutation_2_validation_E,deequ_repeats,3
mutation_2_validation_T,deequ_sec,0.683
mutation_2_validation_T,deequ_sec_std,0.082
mutation_2_validation_T,deequ_cpu,2.033
mutation_2_validation_T,deequ_cpu_std,0.899
mutation_2_validation_T,deequ_ram_kb,287380.0
mutation_2_validation_T,deequ_ram_kb_std,0.0
mutation_2_validation_T,deequ_checks,10
mutation_2_validation_T,deequ_failed,3
mutation_2_validation_T,deequ_repeats,3
mutation_2_validation_L,deequ_sec,0.316
mutation_2_validation_L,deequ_sec_std,0.037
mutation_2_validation_L,deequ_cpu,3.2
mutation_2_validation_L,deequ_cpu_std,0.374
mutation_2_validation_L,deequ_ram_kb,287384.0
mutation_2_validation_L,deequ_ram_kb_std,0.0
mutation_2_validation_L,deequ_checks,5
mutation_2_validation_L,deequ_failed,0
mutation_2_validation_L,deequ_repeats,3
mutation_3_validation_E,deequ_sec,0.856
mutation_3_validation_E,deequ_sec_std,0.094
mutation_3_validation_E,deequ_cpu,2.333
mutation_3_validation_E,deequ_cpu_std,0.873
mutation_3_validation_E,deequ_ram_kb,286332.0
mutation_3_validation_E,deequ_ram_kb_std,0.0
mutation_3_validation_E,deequ_checks,17
mutation_3_validation_E,deequ_failed,2
mutation_3_validation_E,deequ_repeats,3
mutation_3_validation_T,deequ_sec,0.6
mutation_3_validation_T,deequ_sec_std,0.048
mutation_3_validation_T,deequ_cpu,1.667
mutation_3_validation_T,deequ_cpu_std,0.125
mutation_3_validation_T,deequ_ram_kb,286332.0
mutation_3_validation_T,deequ_ram_kb_std,0.0
mutation_3_validation_T,deequ_checks,10
mutation_3_validation_T,deequ_failed,2
mutation_3_validation_T,deequ_repeats,3
mutation_3_validation_L,deequ_sec,0.262
mutation_3_validation_L,deequ_sec_std,0.017
mutation_3_validation_L,deequ_cpu,2.667
mutation_3_validation_L,deequ_cpu_std,1.887
mutation_3_validation_L,deequ_ram_kb,286332.0
mutation_3_validation_L,deequ_ram_kb_std,0.0
mutation_3_validation_L,deequ_checks,5
mutation_3_validation_L,deequ_failed,1
mutation_3_validation_L,deequ_repeats,3
mutation_4_validation_E,deequ_sec,0.883
mutation_4_validation_E,deequ_sec_std,0.067
mutation_4_validation_E,deequ_cpu,1.867
mutation_4_validation_E,deequ_cpu_std,0.403
mutation_4_validation_E,deequ_ram_kb,299237.333
mutation_4_validation_E,deequ_ram_kb_std,241.359
mutation_4_validation_E,deequ_checks,17
mutation_4_validation_E,deequ_failed,5
mutation_4_validation_E,deequ_repeats,3
mutation_4_validation_T,deequ_sec,0.691
mutation_4_validation_T,deequ_sec_std,0.062
mutation_4_validation_T,deequ_cpu,2.5
mutation_4_validation_T,deequ_cpu_std,0.849
mutation_4_validation_T,deequ_ram_kb,298384.0
mutation_4_validation_T,deequ_ram_kb_std,0.0
mutation_4_validation_T,deequ_checks,10
mutation_4_validation_T,deequ_failed,5
mutation_4_validation_T,deequ_repeats,3
mutation_4_validation_L,deequ_sec,0.308
mutation_4_validation_L,deequ_sec_std,0.067
mutation_4_validation_L,deequ_cpu,1.267
mutation_4_validation_L,deequ_cpu_std,1.791
mutation_4_validation_L,deequ_ram_kb,298384.0
mutation_4_validation_L,deequ_ram_kb_std,0.0
mutation_4_validation_L,deequ_checks,5
mutation_4_validation_L,deequ_failed,0
mutation_4_validation_L,deequ_repeats,3
mutation_5_validation_E,deequ_sec,0.846
mutation_5_validation_E,deequ_sec_std,0.071
mutation_5_validation_E,deequ_cpu,2.367
mutation_5_validation_E,deequ_cpu_std,0.929
mutation_5_validation_E,deequ_ram_kb,296463.333
mutation_5_validation_E,deequ_ram_kb_std,239.946
mutation_5_validation_E,deequ_checks,17
mutation_5_validation_E,deequ_failed,2
mutation_5_validation_E,deequ_repeats,3
mutation_5_validation_T,deequ_sec,0.614
mutation_5_validation_T,deequ_sec_std,0.062
mutation_5_validation_T,deequ_cpu,2.133
mutation_5_validation_T,deequ_cpu_std,0.556
mutation_5_validation_T,deequ_ram_kb,295612.0
mutation_5_validation_T,deequ_ram_kb_std,0.0
mutation_5_validation_T,deequ_checks,10
mutation_5_validation_T,deequ_failed,3
mutation_5_validation_T,deequ_repeats,3
mutation_5_validation_L,deequ_sec,0.344
mutation_5_validation_L,deequ_sec_std,0.057
mutation_5_validation_L,deequ_cpu,1.667
mutation_5_validation_L,deequ_cpu_std,2.357
mutation_5_validation_L,deequ_ram_kb,295612.0
mutation_5_validation_L,deequ_ram_kb_std,0.0
mutation_5_validation_L,deequ_checks,5
mutation_5_validation_L,deequ_failed,0
mutation_5_validation_L,deequ_repeats,3
mutation_6_validation_E,deequ_sec,0.849
mutation_6_validation_E,deequ_sec_std,0.065
mutation_6_validation_E,deequ_cpu,1.967
mutation_6_validation_E,deequ_cpu_std,0.634
mutation_6_validation_E,deequ_ram_kb,294588.0
mutation_6_validation_E,deequ_ram_kb_std,0.0
mutation_6_validation_E,deequ_checks,17
mutation_6_validation_E,deequ_failed,3
mutation_6_validation_E,deequ_repeats,3
mutation_6_validation_T,deequ_sec,0.674
mutation_6_validation_T,deequ_sec_std,0.059
mutation_6_validation_T,deequ_cpu,1.5
mutation_6_validation_T,deequ_cpu_std,0.163
mutation_6_validation_T,deequ_ram_kb,294588.0
mutation_6_validation_T,deequ_ram_kb_std,0.0
mutation_6_validation_T,deequ_checks,10
mutation_6_validation_T,deequ_failed,2
mutation_6_validation_T,deequ_repeats,3
mutation_6_validation_L,deequ_sec,0.355
mutation_6_validation_L,deequ_sec_std,0.059
mutation_6_validation_L,deequ_cpu,1.167
mutation_6_validation_L,deequ_cpu_std,1.65
mutation_6_validation_L,deequ_ram_kb,294588.0
mutation_6_validation_L,deequ_ram_kb_std,0.0
mutation_6_validation_L,deequ_checks,5
mutation_6_validation_L,deequ_failed,1
mutation_6_validation_L,deequ_repeats,3
mutation_7_validation_E,deequ_sec,0.729
mutation_7_validation_E,deequ_sec_std,0.047
mutation_7_validation_E,deequ_cpu,3.2
mutation_7_validation_E,deequ_cpu_std,1.296
mutation_7_validation_E,deequ_ram_kb,298082.667
mutation_7_validation_E,deequ_ram_kb_std,482.718
mutation_7_validation_E,deequ_checks,17
mutation_7_validation_E,deequ_failed,6
mutation_7_validation_E,deequ_repeats,3
mutation_7_validation_T,deequ_sec,0.593
mutation_7_validation_T,deequ_sec_std,0.067
mutation_7_validation_T,deequ_cpu,2.367
mutation_7_validation_T,deequ_cpu_std,1.021
mutation_7_validation_T,deequ_ram_kb,296376.0
mutation_7_validation_T,deequ_ram_kb_std,0.0
mutation_7_validation_T,deequ_checks,10
mutation_7_validation_T,deequ_failed,5
mutation_7_validation_T,deequ_repeats,3
mutation_7_validation_L,deequ_sec,0.302
mutation_7_validation_L,deequ_sec_std,0.052
mutation_7_validation_L,deequ_cpu,0.967
mutation_7_validation_L,deequ_cpu_std,1.367
mutation_7_validation_L,deequ_ram_kb,296376.0
mutation_7_validation_L,deequ_ram_kb_std,0.0
mutation_7_validation_L,deequ_checks,5
mutation_7_validation_L,deequ_failed,0
mutation_7_validation_L,deequ_repeats,3
mutation_8_validation_E,deequ_sec,0.816
mutation_8_validation_E,deequ_sec_std,0.058
mutation_8_validation_E,deequ_cpu,2.4
mutation_8_validation_E,deequ_cpu_std,0.86
mutation_8_validation_E,deequ_ram_kb,295100.0
mutation_8_validation_E,deequ_ram_kb_std,418.046
mutation_8_validation_E,deequ_checks,17
mutation_8_validation_E,deequ_failed,2
mutation_8_validation_E,deequ_repeats,3
mutation_8_validation_T,deequ_sec,0.616
mutation_8_validation_T,deequ_sec_std,0.018
mutation_8_validation_T,deequ_cpu,1.567
mutation_8_validation_T,deequ_cpu_std,1.266
mutation_8_validation_T,deequ_ram_kb,294588.0
mutation_8_validation_T,deequ_ram_kb_std,0.0
mutation_8_validation_T,deequ_checks,10
mutation_8_validation_T,deequ_failed,4
mutation_8_validation_T,deequ_repeats,3
mutation_8_validation_L,deequ_sec,0.357
mutation_8_validation_L,deequ_sec_std,0.055
mutation_8_validation_L,deequ_cpu,1.9
mutation_8_validation_L,deequ_cpu_std,1.417
mutation_8_validation_L,deequ_ram_kb,294588.0
mutation_8_validation_L,deequ_ram_kb_std,0.0
mutation_8_validation_L,deequ_checks,5
mutation_8_validation_L,deequ_failed,0
mutation_8_validation_L,deequ_repeats,3
mutation_9_validation_E,deequ_sec,0.874
mutation_9_validation_E,deequ_sec_std,0.058
mutation_9_validation_E,deequ_cpu,2.233
mutation_9_validation_E,deequ_cpu_std,0.776
mutation_9_validation_E,deequ_ram_kb,294588.0
mutation_9_validation_E,deequ_ram_kb_std,0.0
mutation_9_validation_E,deequ_checks,17
mutation_9_validation_E,deequ_failed,2
mutation_9_validation_E,deequ_repeats,3
mutation_9_validation_T,deequ_sec,0.639
mutation_9_validation_T,deequ_sec_std,0.098
mutation_9_validation_T,deequ_cpu,1.067
mutation_9_validation_T,deequ_cpu_std,0.793
mutation_9_validation_T,deequ_ram_kb,294588.0
mutation_9_validation_T,deequ_ram_kb_std,0.0
mutation_9_validation_T,deequ_checks,10
mutation_9_validation_T,deequ_failed,2
mutation_9_validation_T,deequ_repeats,3
mutation_9_validation_L,deequ_sec,0.31
mutation_9_validation_L,deequ_sec_std,0.041
mutation_9_validation_L,deequ_cpu,1.967
mutation_9_validation_L,deequ_cpu_std,1.391
mutation_9_validation_L,deequ_ram_kb,294588.0
mutation_9_validation_L,deequ_ram_kb_std,0.0
mutation_9_validation_L,deequ_checks,5
mutation_9_validation_L,deequ_failed,0
mutation_9_validation_L,deequ_repeats,3
