stage,metric,value
load,duration_sec,627.201
load,areas_rows,30
load,competitions_rows,30
load,teams_rows,16500
load,matches_rows,125400
load,standings_rows,16500
validation_E,gx_sec,16.029
validation_E,gx_sec_std,0.65
validation_E,gx_cpu,0.133
validation_E,gx_cpu_std,0.047
validation_E,gx_ram_kb,261602.667
validation_E,gx_ram_kb_std,3.399
validation_E,gx_checks,15
validation_E,gx_failed,1
validation_E,gx_repeats,3
validation_T,gx_sec,24.115
validation_T,gx_sec_std,0.286
validation_T,gx_cpu,0.133
validation_T,gx_cpu_std,0.047
validation_T,gx_ram_kb,261625.333
validation_T,gx_ram_kb_std,5.249
validation_T,gx_checks,19
validation_T,gx_failed,2
validation_T,gx_repeats,3
validation_L,gx_sec,4.367
validation_L,gx_sec_std,0.223
validation_L,gx_cpu,0.167
validation_L,gx_cpu_std,0.236
validation_L,gx_ram_kb,261632.0
validation_L,gx_ram_kb_std,0.0
validation_L,gx_checks,3
validation_L,gx_failed,0
validation_L,gx_repeats,3
mutation_1_validation_E,gx_sec,1.187
mutation_1_validation_E,gx_sec_std,0.179
mutation_1_validation_E,gx_cpu,2.133
mutation_1_validation_E,gx_cpu_std,1.053
mutation_1_validation_E,gx_ram_kb,289710.667
mutation_1_validation_E,gx_ram_kb_std,241.359
mutation_1_validation_E,gx_checks,15
mutation_1_validation_E,gx_failed,5
mutation_1_validation_E,gx_repeats,3
mutation_1_validation_T,gx_sec,1.141
mutation_1_validation_T,gx_sec_std,0.066
mutation_1_validation_T,gx_cpu,2.3
mutation_1_validation_T,gx_cpu_std,0.374
mutation_1_validation_T,gx_ram_kb,289540.0
mutation_1_validation_T,gx_ram_kb_std,0.0
mutation_1_validation_T,gx_checks,19
mutation_1_validation_T,gx_failed,6
mutation_1_validation_T,gx_repeats,3
mutation_1_validation_L,gx_sec,0.243
mutation_1_validation_L,gx_sec_std,0.051
mutation_1_validation_L,gx_cpu,1.3
mutation_1_validation_L,gx_cpu_std,1.838
mutation_1_validation_L,gx_ram_kb,289540.0
mutation_1_validation_L,gx_ram_kb_std,0.0
mutation_1_validation_L,gx_checks,3
mutation_1_validation_L,gx_failed,1
mutation_1_validation_L,gx_repeats,3
mutation_2_validation_E,gx_sec,0.901
mutation_2_validation_E,gx_sec_std,0.112
mutation_2_validation_E,gx_cpu,1.933
mutation_2_validation_E,gx_cpu_std,0.732
mutation_2_validation_E,gx_ram_kb,287958.667
mutation_2_validation_E,gx_ram_kb_std,241.359
mutation_2_validation_E,gx_checks,15
mutation_2_validation_E,gx_failed,2
mutation_2_validation_E,gx_repeats,3
mutation_2_validation_T,gx_sec,1.072
mutation_2_validation_T,gx_sec_std,0.044
mutation_2_validation_T,gx_cpu,2.2
mutation_2_validation_T,gx_cpu_std,0.92
mutation_2_validation_T,gx_ram_kb,287788.0
mutation_2_validation_T,gx_ram_kb_std,0.0
mutation_2_validation_T,gx_checks,19
mutation_2_validation_T,gx_failed,3
mutation_2_validation_T,gx_repeats,3
mutation_2_validation_L,gx_sec,0.267
mutation_2_validation_L,gx_sec_std,0.043
mutation_2_validation_L,gx_cpu,1.033
mutation_2_validation_L,gx_cpu_std,1.461
mutation_2_validation_L,gx_ram_kb,287792.0
mutation_2_validation_L,gx_ram_kb_std,0.0
mutation_2_validation_L,gx_checks,3
mutation_2_validation_L,gx_failed,0
mutation_2_validation_L,gx_repeats,3
mutation_3_validation_E,gx_sec,0.856
mutation_3_validation_E,gx_sec_std,0.043
mutation_3_validation_E,gx_cpu,2.367
mutation_3_validation_E,gx_cpu_std,1.027
mutation_3_validation_E,gx_ram_kb,288446.667
mutation_3_validation_E,gx_ram_kb_std,638.576
mutation_3_validation_E,gx_checks,15
mutation_3_validation_E,gx_failed,4
mutation_3_validation_E,gx_repeats,3
mutation_3_validation_T,gx_sec,1.049
mutation_3_validation_T,gx_sec_std,0.051
mutation_3_validation_T,gx_cpu,1.9
mutation_3_validation_T,gx_cpu_std,0.082
mutation_3_validation_T,gx_ram_kb,287764.0
mutation_3_validation_T,gx_ram_kb_std,0.0
mutation_3_validation_T,gx_checks,19
mutation_3_validation_T,gx_failed,5
mutation_3_validation_T,gx_repeats,3
mutation_3_validation_L,gx_sec,0.234
mutation_3_validation_L,gx_sec_std,0.052
mutation_3_validation_L,gx_cpu,1.2
mutation_3_validation_L,gx_cpu_std,1.697
mutation_3_validation_L,gx_ram_kb,287764.0
mutation_3_validation_L,gx_ram_kb_std,0.0
mutation_3_validation_L,gx_checks,3
mutation_3_validation_L,gx_failed,1
mutation_3_validation_L,gx_repeats,3
mutation_4_validation_E,gx_sec,0.844
mutation_4_validation_E,gx_sec_std,0.025
mutation_4_validation_E,gx_cpu,1.933
mutation_4_validation_E,gx_cpu_std,1.037
mutation_4_validation_E,gx_ram_kb,299990.667
mutation_4_validation_E,gx_ram_kb_std,241.359
mutation_4_validation_E,gx_checks,15
mutation_4_validation_E,gx_failed,5
mutation_4_validation_E,gx_repeats,3
mutation_4_validation_T,gx_sec,1.095
mutation_4_validation_T,gx_sec_std,0.068
mutation_4_validation_T,gx_cpu,2.167
mutation_4_validation_T,gx_cpu_std,0.591
mutation_4_validation_T,gx_ram_kb,298966.667
mutation_4_validation_T,gx_ram_kb_std,241.359
mutation_4_validation_T,gx_checks,19
mutation_4_validation_T,gx_failed,6
mutation_4_validation_T,gx_repeats,3
mutation_4_validation_L,gx_sec,0.19
mutation_4_validation_L,gx_sec_std,0.026
mutation_4_validation_L,gx_cpu,1.5
mutation_4_validation_L,gx_cpu_std,2.121
mutation_4_validation_L,gx_ram_kb,298796.0
mutation_4_validation_L,gx_ram_kb_std,0.0
mutation_4_validation_L,gx_checks,3
mutation_4_validation_L,gx_failed,1
mutation_4_validation_L,gx_repeats,3
mutation_5_validation_E,gx_sec,0.807
mutation_5_validation_E,gx_sec_std,0.019
mutation_5_validation_E,gx_cpu,1.667
mutation_5_validation_E,gx_cpu_std,0.591
mutation_5_validation_E,gx_ram_kb,290740.0
mutation_5_validation_E,gx_ram_kb_std,0.0
mutation_5_validation_E,gx_checks,15
mutation_5_validation_E,gx_failed,2
mutation_5_validation_E,gx_repeats,3
mutation_5_validation_T,gx_sec,1.007
mutation_5_validation_T,gx_sec_std,0.026
mutation_5_validation_T,gx_cpu,2.333
mutation_5_validation_T,gx_cpu_std,0.946
mutation_5_validation_T,gx_ram_kb,290740.0
mutation_5_validation_T,gx_ram_kb_std,0.0
mutation_5_validation_T,gx_checks,19
mutation_5_validation_T,gx_failed,3
mutation_5_validation_T,gx_repeats,3
mutation_5_validation_L,gx_sec,0.262
mutation_5_validation_L,gx_sec_std,0.062
mutation_5_validation_L,gx_cpu,0.0
mutation_5_validation_L,gx_cpu_std,0.0
mutation_5_validation_L,gx_ram_kb,290740.0
mutation_5_validation_L,gx_ram_kb_std,0.0
mutation_5_validation_L,gx_checks,3
mutation_5_validation_L,gx_failed,0
mutation_5_validation_L,gx_repeats,3
mutation_6_validation_E,gx_sec,0.786
mutation_6_validation_E,gx_sec_std,0.028
mutation_6_validation_E,gx_cpu,2.133
mutation_6_validation_E,gx_cpu_std,0.665
mutation_6_validation_E,gx_ram_kb,290740.0
mutation_6_validation_E,gx_ram_kb_std,0.0
mutation_6_validation_E,gx_checks,15
mutation_6_validation_E,gx_failed,4
mutation_6_validation_E,gx_repeats,3
mutation_6_validation_T,gx_sec,1.014
mutation_6_validation_T,gx_sec_std,0.01
mutation_6_validation_T,gx_cpu,2.3
mutation_6_validation_T,gx_cpu_std,0.497
mutation_6_validation_T,gx_ram_kb,290740.0
mutation_6_validation_T,gx_ram_kb_std,0.0
mutation_6_validation_T,gx_checks,19
mutation_6_validation_T,gx_failed,5
mutation_6_validation_T,gx_repeats,3
mutation_6_validation_L,gx_sec,0.232
mutation_6_validation_L,gx_sec_std,0.051
mutation_6_validation_L,gx_cpu,1.5
mutation_6_validation_L,gx_cpu_std,2.121
mutation_6_validation_L,gx_ram_kb,290740.0
mutation_6_validation_L,gx_ram_kb_std,0.0
mutation_6_validation_L,gx_checks,3
mutation_6_validation_L,gx_failed,1
mutation_6_validation_L,gx_repeats,3
mutation_7_validation_E,gx_sec,0.744
mutation_7_validation_E,gx_sec_std,0.08
mutation_7_validation_E,gx_cpu,2.267
mutation_7_validation_E,gx_cpu_std,0.741
mutation_7_validation_E,gx_ram_kb,300884.0
mutation_7_validation_E,gx_ram_kb_std,0.0
mutation_7_validation_E,gx_checks,15
mutation_7_validation_E,gx_failed,5
mutation_7_validation_E,gx_repeats,3
mutation_7_validation_T,gx_sec,1.023
mutation_7_validation_T,gx_sec_std,0.072
mutation_7_validation_T,gx_cpu,1.967
mutation_7_validation_T,gx_cpu_std,0.125
mutation_7_validation_T,gx_ram_kb,300884.0
mutation_7_validation_T,gx_ram_kb_std,0.0
mutation_7_validation_T,gx_checks,19
mutation_7_validation_T,gx_failed,6
mutation_7_validation_T,gx_repeats,3
mutation_7_validation_L,gx_sec,0.198
mutation_7_validation_L,gx_sec_std,0.01
mutation_7_validation_L,gx_cpu,3.5
mutation_7_validation_L,gx_cpu_std,2.475
mutation_7_validation_L,gx_ram_kb,300884.0
mutation_7_validation_L,gx_ram_kb_std,0.0
mutation_7_validation_L,gx_checks,3
mutation_7_validation_L,gx_failed,1
mutation_7_validation_L,gx_repeats,3
mutation_8_validation_E,gx_sec,0.809
mutation_8_validation_E,gx_sec_std,0.029
mutation_8_validation_E,gx_cpu,2.067
mutation_8_validation_E,gx_cpu_std,0.618
mutation_8_validation_E,gx_ram_kb,303028.0
mutation_8_validation_E,gx_ram_kb_std,0.0
mutation_8_validation_E,gx_checks,15
mutation_8_validation_E,gx_failed,3
mutation_8_validation_E,gx_repeats,3
mutation_8_validation_T,gx_sec,1.001
mutation_8_validation_T,gx_sec_std,0.08
mutation_8_validation_T,gx_cpu,2.367
mutation_8_validation_T,gx_cpu_std,0.602
mutation_8_validation_T,gx_ram_kb,303028.0
mutation_8_validation_T,gx_ram_kb_std,0.0
mutation_8_validation_T,gx_checks,19
mutation_8_validation_T,gx_failed,4
mutation_8_validation_T,gx_repeats,3
mutation_8_validation_L,gx_sec,0.225
mutation_8_validation_L,gx_sec_std,0.018
mutation_8_validation_L,gx_cpu,1.667
mutation_8_validation_L,gx_cpu_std,2.357
mutation_8_validation_L,gx_ram_kb,303028.0
mutation_8_validation_L,gx_ram_kb_std,0.0
mutation_8_validation_L,gx_checks,3
mutation_8_validation_L,gx_failed,0
mutation_8_validation_L,gx_repeats,3
mutation_9_validation_E,gx_sec,0.771
mutation_9_validation_E,gx_sec_std,0.041
mutation_9_validation_E,gx_cpu,2.133
mutation_9_validation_E,gx_cpu_std,0.525
mutation_9_validation_E,gx_ram_kb,303028.0
mutation_9_validation_E,gx_ram_kb_std,0.0
mutation_9_validation_E,gx_checks,15
mutation_9_validation_E,gx_failed,2
mutation_9_validation_E,gx_repeats,3
mutation_9_validation_T,gx_sec,0.993
mutation_9_validation_T,gx_sec_std,0.038
mutation_9_validation_T,gx_cpu,1.667
mutation_9_validation_T,gx_cpu_std,0.478
mutation_9_validation_T,gx_ram_kb,303028.0
mutation_9_validation_T,gx_ram_kb_std,0.0
mutation_9_validation_T,gx_checks,19
mutation_9_validation_T,gx_failed,3
mutation_9_validation_T,gx_repeats,3
mutation_9_validation_L,gx_sec,0.292
mutation_9_validation_L,gx_sec_std,0.02
mutation_9_validation_L,gx_cpu,1.067
mutation_9_validation_L,gx_cpu_std,1.508
mutation_9_validation_L,gx_ram_kb,303028.0
mutation_9_validation_L,gx_ram_kb_std,0.0
mutation_9_validation_L,gx_checks,3
mutation_9_validation_L,gx_failed,0
mutation_9_validation_L,gx_repeats,3
