stage,metric,value
load,duration_sec,626.856
load,areas_rows,30
load,competitions_rows,30
load,teams_rows,16500
load,matches_rows,125400
load,standings_rows,16500
validation_E,soda_sec,8.332
validation_E,soda_sec_std,0.498
validation_E,soda_cpu,0.1
validation_E,soda_cpu_std,0.141
validation_E,soda_ram_kb,261506.0
validation_E,soda_ram_kb_std,2.828
validation_E,soda_checks,7
validation_E,soda_failed,0
validation_E,soda_repeats,3
validation_T,soda_sec,12.599
validation_T,soda_sec_std,0.336
validation_T,soda_cpu,0.1
validation_T,soda_cpu_std,0.082
validation_T,soda_ram_kb,261508.0
validation_T,soda_ram_kb_std,0.0
validation_T,soda_checks,5
validation_T,soda_failed,0
validation_T,soda_repeats,3
validation_L,soda_sec,4.786
validation_L,soda_sec_std,0.131
validation_L,soda_cpu,0.133
validation_L,soda_cpu_std,0.094
validation_L,soda_ram_kb,261508.0
validation_L,soda_ram_kb_std,0.0
validation_L,soda_checks,3
validation_L,soda_failed,0
validation_L,soda_repeats,3
mutation_1_validation_E,soda_sec,0.585
mutation_1_validation_E,soda_sec_std,0.103
mutation_1_validation_E,soda_cpu,1.533
mutation_1_validation_E,soda_cpu_std,1.132
mutation_1_validation_E,soda_ram_kb,291916.0
mutation_1_validation_E,soda_ram_kb_std,0.0
mutation_1_validation_E,soda_checks,7
mutation_1_validation_E,soda_failed,2
mutation_1_validation_E,soda_repeats,3
mutation_1_validation_T,soda_sec,0.601
mutation_1_validation_T,soda_sec_std,0.035
mutation_1_validation_T,soda_cpu,1.6
mutation_1_validation_T,soda_cpu_std,1.268
mutation_1_validation_T,soda_ram_kb,291916.0
mutation_1_validation_T,soda_ram_kb_std,0.0
mutation_1_validation_T,soda_checks,5
mutation_1_validation_T,soda_failed,3
mutation_1_validation_T,soda_repeats,3
mutation_1_validation_L,soda_sec,0.257
mutation_1_validation_L,soda_sec_std,0.008
mutation_1_validation_L,soda_cpu,2.533
mutation_1_validation_L,soda_cpu_std,1.793
mutation_1_validation_L,soda_ram_kb,291916.0
mutation_1_validation_L,soda_ram_kb_std,0.0
mutation_1_validation_L,soda_checks,3
mutation_1_validation_L,soda_failed,0
mutation_1_validation_L,soda_repeats,3
mutation_2_validation_E,soda_sec,0.49
mutation_2_validation_E,soda_sec_std,0.081
mutation_2_validation_E,soda_cpu,2.267
mutation_2_validation_E,soda_cpu_std,1.799
mutation_2_validation_E,soda_ram_kb,286056.0
mutation_2_validation_E,soda_ram_kb_std,0.0
mutation_2_validation_E,soda_checks,7
mutation_2_validation_E,soda_failed,0
mutation_2_validation_E,soda_repeats,3
mutation_2_validation_T,soda_sec,0.629
mutation_2_validation_T,soda_sec_std,0.153
mutation_2_validation_T,soda_cpu,1.3
mutation_2_validation_T,soda_cpu_std,0.927
mutation_2_validation_T,soda_ram_kb,286056.0
mutation_2_validation_T,soda_ram_kb_std,0.0
mutation_2_validation_T,soda_checks,5
mutation_2_validation_T,soda_failed,1
mutation_2_validation_T,soda_repeats,3
mutation_2_validation_L,soda_sec,0.275
mutation_2_validation_L,soda_sec_std,0.024
mutation_2_validation_L,soda_cpu,2.5
mutation_2_validation_L,soda_cpu_std,1.791
mutation_2_validation_L,soda_ram_kb,286060.0
mutation_2_validation_L,soda_ram_kb_std,0.0
mutation_2_validation_L,soda_checks,3
mutation_2_validation_L,soda_failed,0
mutation_2_validation_L,soda_repeats,3
mutation_3_validation_E,soda_sec,0.516
mutation_3_validation_E,soda_sec_std,0.035
mutation_3_validation_E,soda_cpu,1.267
mutation_3_validation_E,soda_cpu_std,0.899
mutation_3_validation_E,soda_ram_kb,289080.0
mutation_3_validation_E,soda_ram_kb_std,0.0
mutation_3_validation_E,soda_checks,7
mutation_3_validation_E,soda_failed,1
mutation_3_validation_E,soda_repeats,3
mutation_3_validation_T,soda_sec,0.48
mutation_3_validation_T,soda_sec_std,0.047
mutation_3_validation_T,soda_cpu,1.967
mutation_3_validation_T,soda_cpu_std,1.592
mutation_3_validation_T,soda_ram_kb,289080.0
mutation_3_validation_T,soda_ram_kb_std,0.0
mutation_3_validation_T,soda_checks,5
mutation_3_validation_T,soda_failed,1
mutation_3_validation_T,soda_repeats,3
mutation_3_validation_L,soda_sec,0.268
mutation_3_validation_L,soda_sec_std,0.016
mutation_3_validation_L,soda_cpu,1.333
mutation_3_validation_L,soda_cpu_std,1.886
mutation_3_validation_L,soda_ram_kb,289080.0
mutation_3_validation_L,soda_ram_kb_std,0.0
mutation_3_validation_L,soda_checks,3
mutation_3_validation_L,soda_failed,1
mutation_3_validation_L,soda_repeats,3
mutation_4_validation_E,soda_sec,0.45
mutation_4_validation_E,soda_sec_std,0.037
mutation_4_validation_E,soda_cpu,1.333
mutation_4_validation_E,soda_cpu_std,1.886
mutation_4_validation_E,soda_ram_kb,303228.0
mutation_4_validation_E,soda_ram_kb_std,0.0
mutation_4_validation_E,soda_checks,7
mutation_4_validation_E,soda_failed,2
mutation_4_validation_E,soda_repeats,3
mutation_4_validation_T,soda_sec,0.512
mutation_4_validation_T,soda_sec_std,0.095
mutation_4_validation_T,soda_cpu,0.7
mutation_4_validation_T,soda_cpu_std,0.99
mutation_4_validation_T,soda_ram_kb,303228.0
mutation_4_validation_T,soda_ram_kb_std,0.0
mutation_4_validation_T,soda_checks,5
mutation_4_validation_T,soda_failed,3
mutation_4_validation_T,soda_repeats,3
mutation_4_validation_L,soda_sec,0.252
mutation_4_validation_L,soda_sec_std,0.025
mutation_4_validation_L,soda_cpu,2.367
mutation_4_validation_L,soda_cpu_std,3.347
mutation_4_validation_L,soda_ram_kb,303228.0
mutation_4_validation_L,soda_ram_kb_std,0.0
mutation_4_validation_L,soda_checks,3
mutation_4_validation_L,soda_failed,0
mutation_4_validation_L,soda_repeats,3
mutation_5_validation_E,soda_sec,0.499
mutation_5_validation_E,soda_sec_std,0.047
mutation_5_validation_E,soda_cpu,1.867
mutation_5_validation_E,soda_cpu_std,1.438
mutation_5_validation_E,soda_ram_kb,301392.0
mutation_5_validation_E,soda_ram_kb_std,0.0
mutation_5_validation_E,soda_checks,7
mutation_5_validation_E,soda_failed,1
mutation_5_validation_E,soda_repeats,3
mutation_5_validation_T,soda_sec,0.505
mutation_5_validation_T,soda_sec_std,0.088
mutation_5_validation_T,soda_cpu,1.367
mutation_5_validation_T,soda_cpu_std,1.933
mutation_5_validation_T,soda_ram_kb,300538.667
mutation_5_validation_T,soda_ram_kb_std,241.359
mutation_5_validation_T,soda_checks,5
