stage,metric,value
load,duration_sec,48.895
load,areas_rows,15
load,competitions_rows,10
load,teams_rows,800
load,matches_rows,15200
load,standings_rows,800
validation_E,gx_sec,2.51
validation_E,gx_sec_std,0.294
validation_E,gx_cpu,0.78
validation_E,gx_cpu_std,0.271
validation_E,gx_ram_kb,261277.2
validation_E,gx_ram_kb_std,4.665
validation_E,gx_checks,15
validation_E,gx_failed,1
validation_E,gx_repeats,5
validation_E,soda_sec,1.039
validation_E,soda_sec_std,0.037
validation_E,soda_cpu,0.58
validation_E,soda_cpu_std,0.475
validation_E,soda_ram_kb,261286.8
validation_E,soda_ram_kb_std,1.6
validation_E,soda_checks,7
validation_E,soda_failed,0
validation_E,soda_repeats,5
validation_E,deequ_sec,2.28
validation_E,deequ_sec_std,0.041
validation_E,deequ_cpu,0.88
validation_E,deequ_cpu_std,0.286
validation_E,deequ_ram_kb,261298.4
validation_E,deequ_ram_kb_std,4.271
validation_E,deequ_checks,17
validation_E,deequ_failed,1
validation_E,deequ_repeats,5
validation_T,gx_sec,3.366
validation_T,gx_sec_std,0.069
validation_T,gx_cpu,0.66
validation_T,gx_cpu_std,0.224
validation_T,gx_ram_kb,261308.0
validation_T,gx_ram_kb_std,1.265
validation_T,gx_checks,19
validation_T,gx_failed,2
validation_T,gx_repeats,5
validation_T,soda_sec,1.41
validation_T,soda_sec_std,0.067
validation_T,soda_cpu,0.4
validation_T,soda_cpu_std,0.551
validation_T,soda_ram_kb,261312.0
validation_T,soda_ram_kb_std,0.0
validation_T,soda_checks,5
validation_T,soda_failed,0
validation_T,soda_repeats,5
validation_T,sql_sec,1.739
validation_T,sql_sec_std,0.026
validation_T,sql_cpu,0.34
validation_T,sql_cpu_std,0.445
validation_T,sql_ram_kb,261312.0
validation_T,sql_ram_kb_std,0.0
validation_T,sql_checks,7
validation_T,sql_failed,1
validation_T,sql_repeats,5
validation_T,deequ_sec,2.19
validation_T,deequ_sec_std,0.023
validation_T,deequ_cpu,0.48
validation_T,deequ_cpu_std,0.04
validation_T,deequ_ram_kb,261322.8
validation_T,deequ_ram_kb_std,2.4
validation_T,deequ_checks,10
validation_T,deequ_failed,1
validation_T,deequ_repeats,5
validation_L,gx_sec,0.573
validation_L,gx_sec_std,0.021
validation_L,gx_cpu,0.7
validation_L,gx_cpu_std,0.858
