stage,metric,value
load,duration_sec,49.508
load,areas_rows,15
load,competitions_rows,10
load,teams_rows,800
load,matches_rows,15200
load,standings_rows,800
validation_E,soda_sec,1.31
validation_E,soda_sec_std,0.403
validation_E,soda_cpu,0.72
validation_E,soda_cpu_std,0.366
validation_E,soda_ram_kb,261482.0
validation_E,soda_ram_kb_std,3.098
validation_E,soda_checks,7
validation_E,soda_failed,0
validation_E,soda_repeats,5
validation_T,deequ_sec,2.275
validation_T,deequ_sec_std,0.119
validation_T,deequ_cpu,0.54
validation_T,deequ_cpu_std,0.136
validation_T,deequ_ram_kb,261490.0
validation_T,deequ_ram_kb_std,3.578
validation_T,deequ_checks,10
validation_T,deequ_failed,1
validation_T,deequ_repeats,5
validation_L,soda_sec,0.586
validation_L,soda_sec_std,0.043
validation_L,soda_cpu,1.02
validation_L,soda_cpu_std,0.84
validation_L,soda_ram_kb,261496.0
validation_L,soda_ram_kb_std,0.0
validation_L,soda_checks,3
validation_L,soda_failed,0
validation_L,soda_repeats,5
mutation_1_validation_E,soda_sec,0.309
mutation_1_validation_E,soda_sec_std,0.045
mutation_1_validation_E,soda_cpu,2.02
mutation_1_validation_E,soda_cpu_std,2.685
mutation_1_validation_E,soda_ram_kb,269612.0
mutation_1_validation_E,soda_ram_kb_std,0.0
mutation_1_validation_E,soda_checks,7
mutation_1_validation_E,soda_failed,2
mutation_1_validation_E,soda_repeats,5
mutation_1_validation_T,deequ_sec,0.454
mutation_1_validation_T,deequ_sec_std,0.044
mutation_1_validation_T,deequ_cpu,2.64
mutation_1_validation_T,deequ_cpu_std,1.658
mutation_1_validation_T,deequ_ram_kb,269612.0
mutation_1_validation_T,deequ_ram_kb_std,0.0
mutation_1_validation_T,deequ_checks,10
mutation_1_validation_T,deequ_failed,5
mutation_1_validation_T,deequ_repeats,5
mutation_1_validation_L,soda_sec,0.121
mutation_1_validation_L,soda_sec_std,0.012
mutation_1_validation_L,soda_cpu,1.56
mutation_1_validation_L,soda_cpu_std,3.12
mutation_1_validation_L,soda_ram_kb,269614.8
mutation_1_validation_L,soda_ram_kb_std,1.6
mutation_1_validation_L,soda_checks,3
mutation_1_validation_L,soda_failed,0
mutation_1_validation_L,soda_repeats,5
mutation_2_validation_E,soda_sec,0.282
mutation_2_validation_E,soda_sec_std,0.027
mutation_2_validation_E,soda_cpu,2.82
mutation_2_validation_E,soda_cpu_std,1.45
mutation_2_validation_E,soda_ram_kb,271100.0
mutation_2_validation_E,soda_ram_kb_std,0.0
mutation_2_validation_E,soda_checks,7
mutation_2_validation_E,soda_failed,0
mutation_2_validation_E,soda_repeats,5
mutation_2_validation_T,deequ_sec,0.455
mutation_2_validation_T,deequ_sec_std,0.023
mutation_2_validation_T,deequ_cpu,2.68
mutation_2_validation_T,deequ_cpu_std,1.017
mutation_2_validation_T,deequ_ram_kb,271100.0
mutation_2_validation_T,deequ_ram_kb_std,0.0
mutation_2_validation_T,deequ_checks,10
mutation_2_validation_T,deequ_failed,3
mutation_2_validation_T,deequ_repeats,5
mutation_2_validation_L,soda_sec,0.13
mutation_2_validation_L,soda_sec_std,0.02
mutation_2_validation_L,soda_cpu,3.12
mutation_2_validation_L,soda_cpu_std,3.855
mutation_2_validation_L,soda_ram_kb,271104.0
mutation_2_validation_L,soda_ram_kb_std,0.0
mutation_2_validation_L,soda_checks,3
mutation_2_validation_L,soda_failed,0
mutation_2_validation_L,soda_repeats,5
mutation_3_validation_E,soda_sec,0.278
mutation_3_validation_E,soda_sec_std,0.031
mutation_3_validation_E,soda_cpu,3.0
mutation_3_validation_E,soda_cpu_std,1.554
mutation_3_validation_E,soda_ram_kb,272180.0
mutation_3_validation_E,soda_ram_kb_std,0.0
mutation_3_validation_E,soda_checks,7
mutation_3_validation_E,soda_failed,1
mutation_3_validation_E,soda_repeats,5
mutation_3_validation_T,deequ_sec,0.402
mutation_3_validation_T,deequ_sec_std,0.011
mutation_3_validation_T,deequ_cpu,1.98
mutation_3_validation_T,deequ_cpu_std,0.991
mutation_3_validation_T,deequ_ram_kb,272180.0
mutation_3_validation_T,deequ_ram_kb_std,0.0
mutation_3_validation_T,deequ_checks,10
mutation_3_validation_T,deequ_failed,2
mutation_3_validation_T,deequ_repeats,5
mutation_3_validation_L,soda_sec,0.106
mutation_3_validation_L,soda_sec_std,0.014
mutation_3_validation_L,soda_cpu,3.66
mutation_3_validation_L,soda_cpu_std,4.589
mutation_3_validation_L,soda_ram_kb,272180.0
mutation_3_validation_L,soda_ram_kb_std,0.0
mutation_3_validation_L,soda_checks,3
mutation_3_validation_L,soda_failed,1
mutation_3_validation_L,soda_repeats,5
mutation_4_validation_E,soda_sec,0.251
mutation_4_validation_E,soda_sec_std,0.009
mutation_4_validation_E,soda_cpu,2.42
mutation_4_validation_E,soda_cpu_std,1.98
mutation_4_validation_E,soda_ram_kb,271920.8
mutation_4_validation_E,soda_ram_kb_std,409.6
mutation_4_validation_E,soda_checks,7
mutation_4_validation_E,soda_failed,2
mutation_4_validation_E,soda_repeats,5
mutation_4_validation_T,deequ_sec,0.406
mutation_4_validation_T,deequ_sec_std,0.034
mutation_4_validation_T,deequ_cpu,2.98
mutation_4_validation_T,deequ_cpu_std,1.896
mutation_4_validation_T,deequ_ram_kb,271716.0
mutation_4_validation_T,deequ_ram_kb_std,0.0
mutation_4_validation_T,deequ_checks,10
mutation_4_validation_T,deequ_failed,5
mutation_4_validation_T,deequ_repeats,5
mutation_4_validation_L,soda_sec,0.115
mutation_4_validation_L,soda_sec_std,0.017
mutation_4_validation_L,soda_cpu,3.58
mutation_4_validation_L,soda_cpu_std,4.426
mutation_4_validation_L,soda_ram_kb,271716.0
mutation_4_validation_L,soda_ram_kb_std,0.0
mutation_4_validation_L,soda_checks,3
mutation_4_validation_L,soda_failed,0
mutation_4_validation_L,soda_repeats,5
mutation_5_validation_E,soda_sec,0.238
mutation_5_validation_E,soda_sec_std,0.009
mutation_5_validation_E,soda_cpu,2.58
