stage,metric,value
load,duration_sec,49.47
load,areas_rows,15
load,competitions_rows,10
load,teams_rows,800
load,matches_rows,15200
load,standings_rows,800
validation_E,soda_sec,1.221
validation_E,soda_sec_std,0.338
validation_E,soda_cpu,0.88
validation_E,soda_cpu_std,0.194
validation_E,soda_ram_kb,261442.0
validation_E,soda_ram_kb_std,3.098
validation_E,soda_checks,7
validation_E,soda_failed,0
validation_E,soda_repeats,5
validation_T,sql_sec,1.848
validation_T,sql_sec_std,0.141
validation_T,sql_cpu,0.48
validation_T,sql_cpu_std,0.24
validation_T,sql_ram_kb,261446.8
validation_T,sql_ram_kb_std,1.6
validation_T,sql_checks,7
validation_T,sql_failed,1
validation_T,sql_repeats,5
validation_L,soda_sec,0.598
validation_L,soda_sec_std,0.033
validation_L,soda_cpu,0.7
validation_L,soda_cpu_std,0.858
validation_L,soda_ram_kb,261448.0
validation_L,soda_ram_kb_std,0.0
validation_L,soda_checks,3
validation_L,soda_failed,0
validation_L,soda_repeats,5
mutation_1_validation_E,soda_sec,0.308
mutation_1_validation_E,soda_sec_std,0.047
mutation_1_validation_E,soda_cpu,2.64
mutation_1_validation_E,soda_cpu_std,1.392
mutation_1_validation_E,soda_ram_kb,269588.0
mutation_1_validation_E,soda_ram_kb_std,0.0
mutation_1_validation_E,soda_checks,7
mutation_1_validation_E,soda_failed,2
mutation_1_validation_E,soda_repeats,5
mutation_1_validation_T,sql_sec,0.35
mutation_1_validation_T,sql_sec_std,0.047
mutation_1_validation_T,sql_cpu,2.24
mutation_1_validation_T,sql_cpu_std,2.166
mutation_1_validation_T,sql_ram_kb,269588.0
mutation_1_validation_T,sql_ram_kb_std,0.0
mutation_1_validation_T,sql_checks,7
mutation_1_validation_T,sql_failed,5
mutation_1_validation_T,sql_repeats,5
mutation_1_validation_L,soda_sec,0.129
mutation_1_validation_L,soda_sec_std,0.01
mutation_1_validation_L,soda_cpu,2.98
mutation_1_validation_L,soda_cpu_std,5.96
mutation_1_validation_L,soda_ram_kb,269588.0
mutation_1_validation_L,soda_ram_kb_std,0.0
mutation_1_validation_L,soda_checks,3
mutation_1_validation_L,soda_failed,0
mutation_1_validation_L,soda_repeats,5
mutation_2_validation_E,soda_sec,0.266
