stage,metric,value
load,duration_sec,49.39
load,areas_rows,15
load,competitions_rows,10
load,teams_rows,800
load,matches_rows,15200
load,standings_rows,800
validation_E,deequ_sec,2.594
validation_E,deequ_sec_std,0.573
validation_E,deequ_cpu,0.7
validation_E,deequ_cpu_std,0.21
validation_E,deequ_ram_kb,261062.8
validation_E,deequ_ram_kb_std,5.307
validation_E,deequ_checks,17
validation_E,deequ_failed,1
validation_E,deequ_repeats,5
validation_T,deequ_sec,2.268
validation_T,deequ_sec_std,0.092
validation_T,deequ_cpu,0.5
validation_T,deequ_cpu_std,0.155
validation_T,deequ_ram_kb,261075.6
validation_T,deequ_ram_kb_std,1.96
validation_T,deequ_checks,10
validation_T,deequ_failed,1
validation_T,deequ_repeats,5
validation_L,deequ_sec,0.929
validation_L,deequ_sec_std,0.055
validation_L,deequ_cpu,0.88
validation_L,deequ_cpu_std,1.078
validation_L,deequ_ram_kb,261080.0
validation_L,deequ_ram_kb_std,0.0
validation_L,deequ_checks,5
validation_L,deequ_failed,0
validation_L,deequ_repeats,5
mutation_1_validation_E,deequ_sec,0.674
mutation_1_validation_E,deequ_sec_std,0.047
mutation_1_validation_E,deequ_cpu,2.7
mutation_1_validation_E,deequ_cpu_std,1.182
mutation_1_validation_E,deequ_ram_kb,268176.0
mutation_1_validation_E,deequ_ram_kb_std,0.0
mutation_1_validation_E,deequ_checks,17
mutation_1_validation_E,deequ_failed,5
mutation_1_validation_E,deequ_repeats,5
mutation_1_validation_T,deequ_sec,0.463
mutation_1_validation_T,deequ_sec_std,0.052
mutation_1_validation_T,deequ_cpu,2.64
mutation_1_validation_T,deequ_cpu_std,1.74
mutation_1_validation_T,deequ_ram_kb,268176.0
mutation_1_validation_T,deequ_ram_kb_std,0.0
mutation_1_validation_T,deequ_checks,10
mutation_1_validation_T,deequ_failed,5
mutation_1_validation_T,deequ_repeats,5
mutation_1_validation_L,deequ_sec,0.168
mutation_1_validation_L,deequ_sec_std,0.021
mutation_1_validation_L,deequ_cpu,3.88
mutation_1_validation_L,deequ_cpu_std,3.169
mutation_1_validation_L,deequ_ram_kb,268176.0
mutation_1_validation_L,deequ_ram_kb_std,0.0
mutation_1_validation_L,deequ_checks,5
mutation_1_validation_L,deequ_failed,0
mutation_1_validation_L,deequ_repeats,5
mutation_2_validation_E,deequ_sec,0.59
mutation_2_validation_E,deequ_sec_std,0.02
mutation_2_validation_E,deequ_cpu,2.7
mutation_2_validation_E,deequ_cpu_std,0.822
mutation_2_validation_E,deequ_ram_kb,269644.0
mutation_2_validation_E,deequ_ram_kb_std,0.0
mutation_2_validation_E,deequ_checks,17
mutation_2_validation_E,deequ_failed,1
mutation_2_validation_E,deequ_repeats,5
mutation_2_validation_T,deequ_sec,0.418
mutation_2_validation_T,deequ_sec_std,0.029
mutation_2_validation_T,deequ_cpu,2.8
mutation_2_validation_T,deequ_cpu_std,1.722
mutation_2_validation_T,deequ_ram_kb,269644.0
mutation_2_validation_T,deequ_ram_kb_std,0.0
mutation_2_validation_T,deequ_checks,10
mutation_2_validation_T,deequ_failed,3
mutation_2_validation_T,deequ_repeats,5
mutation_2_validation_L,deequ_sec,0.182
mutation_2_validation_L,deequ_sec_std,0.037
mutation_2_validation_L,deequ_cpu,3.32
mutation_2_validation_L,deequ_cpu_std,4.892
mutation_2_validation_L,deequ_ram_kb,269648.0
mutation_2_validation_L,deequ_ram_kb_std,0.0
mutation_2_validation_L,deequ_checks,5
mutation_2_validation_L,deequ_failed,0
mutation_2_validation_L,deequ_repeats,5
mutation_3_validation_E,deequ_sec,0.562
mutation_3_validation_E,deequ_sec_std,0.024
mutation_3_validation_E,deequ_cpu,2.82
mutation_3_validation_E,deequ_cpu_std,0.838
mutation_3_validation_E,deequ_ram_kb,268304.8
mutation_3_validation_E,deequ_ram_kb_std,409.6
mutation_3_validation_E,deequ_checks,17
mutation_3_validation_E,deequ_failed,2
mutation_3_validation_E,deequ_repeats,5
mutation_3_validation_T,deequ_sec,0.391
mutation_3_validation_T,deequ_sec_std,0.01
mutation_3_validation_T,deequ_cpu,3.04
mutation_3_validation_T,deequ_cpu_std,2.484
mutation_3_validation_T,deequ_ram_kb,267588.0
mutation_3_validation_T,deequ_ram_kb_std,0.0
mutation_3_validation_T,deequ_checks,10
mutation_3_validation_T,deequ_failed,2
mutation_3_validation_T,deequ_repeats,5
mutation_3_validation_L,deequ_sec,0.174
mutation_3_validation_L,deequ_sec_std,0.017
mutation_3_validation_L,deequ_cpu,1.3
mutation_3_validation_L,deequ_cpu_std,2.6
mutation_3_validation_L,deequ_ram_kb,267588.0
mutation_3_validation_L,deequ_ram_kb_std,0.0
mutation_3_validation_L,deequ_checks,5
mutation_3_validation_L,deequ_failed,1
mutation_3_validation_L,deequ_repeats,5
mutation_4_validation_E,deequ_sec,0.57
mutation_4_validation_E,deequ_sec_std,0.04
mutation_4_validation_E,deequ_cpu,2.78
mutation_4_validation_E,deequ_cpu_std,0.778
mutation_4_validation_E,deequ_ram_kb,270264.0
mutation_4_validation_E,deequ_ram_kb_std,0.0
mutation_4_validation_E,deequ_checks,17
mutation_4_validation_E,deequ_failed,5
mutation_4_validation_E,deequ_repeats,5
mutation_4_validation_T,deequ_sec,0.388
mutation_4_validation_T,deequ_sec_std,0.022
mutation_4_validation_T,deequ_cpu,2.58
mutation_4_validation_T,deequ_cpu_std,0.133
mutation_4_validation_T,deequ_ram_kb,270264.0
mutation_4_validation_T,deequ_ram_kb_std,0.0
mutation_4_validation_T,deequ_checks,10
mutation_4_validation_T,deequ_failed,5
mutation_4_validation_T,deequ_repeats,5
mutation_4_validation_L,deequ_sec,0.161
mutation_4_validation_L,deequ_sec_std,0.02
mutation_4_validation_L,deequ_cpu,2.78
mutation_4_validation_L,deequ_cpu_std,3.405
mutation_4_validation_L,deequ_ram_kb,270264.0
mutation_4_validation_L,deequ_ram_kb_std,0.0
mutation_4_validation_L,deequ_checks,5
mutation_4_validation_L,deequ_failed,0
mutation_4_validation_L,deequ_repeats,5
mutation_5_validation_E,deequ_sec,0.574
mutation_5_validation_E,deequ_sec_std,0.02
mutation_5_validation_E,deequ_cpu,2.78
mutation_5_validation_E,deequ_cpu_std,0.891
mutation_5_validation_E,deequ_ram_kb,269240.0
mutation_5_validation_E,deequ_ram_kb_std,0.0
mutation_5_validation_E,deequ_checks,17
mutation_5_validation_E,deequ_failed,2
mutation_5_validation_E,deequ_repeats,5
mutation_5_validation_T,deequ_sec,0.395
mutation_5_validation_T,deequ_sec_std,0.03
mutation_5_validation_T,deequ_cpu,2.54
mutation_5_validation_T,deequ_cpu_std,0.162
mutation_5_validation_T,deequ_ram_kb,269240.0
mutation_5_validation_T,deequ_ram_kb_std,0.0
mutation_5_validation_T,deequ_checks,10
mutation_5_validation_T,deequ_failed,3
mutation_5_validation_T,deequ_repeats,5
mutation_5_validation_L,deequ_sec,0.156
mutation_5_validation_L,deequ_sec_std,0.015
mutation_5_validation_L,deequ_cpu,2.74
mutation_5_validation_L,deequ_cpu_std,3.356
mutation_5_validation_L,deequ_ram_kb,269240.0
mutation_5_validation_L,deequ_ram_kb_std,0.0
mutation_5_validation_L,deequ_checks,5
mutation_5_validation_L,deequ_failed,0
mutation_5_validation_L,deequ_repeats,5
mutation_6_validation_E,deequ_sec,0.631
mutation_6_validation_E,deequ_sec_std,0.043
mutation_6_validation_E,deequ_cpu,2.58
mutation_6_validation_E,deequ_cpu_std,0.886
mutation_6_validation_E,deequ_ram_kb,269240.0
mutation_6_validation_E,deequ_ram_kb_std,0.0
mutation_6_validation_E,deequ_checks,17
mutation_6_validation_E,deequ_failed,3
mutation_6_validation_E,deequ_repeats,5
mutation_6_validation_T,deequ_sec,0.383
mutation_6_validation_T,deequ_sec_std,0.027
mutation_6_validation_T,deequ_cpu,2.1
mutation_6_validation_T,deequ_cpu_std,1.068
mutation_6_validation_T,deequ_ram_kb,269240.0
mutation_6_validation_T,deequ_ram_kb_std,0.0
mutation_6_validation_T,deequ_checks,10
mutation_6_validation_T,deequ_failed,2
mutation_6_validation_T,deequ_repeats,5
mutation_6_validation_L,deequ_sec,0.16
mutation_6_validation_L,deequ_sec_std,0.02
mutation_6_validation_L,deequ_cpu,3.54
mutation_6_validation_L,deequ_cpu_std,2.936
mutation_6_validation_L,deequ_ram_kb,269240.0
mutation_6_validation_L,deequ_ram_kb_std,0.0
mutation_6_validation_L,deequ_checks,5
mutation_6_validation_L,deequ_failed,1
mutation_6_validation_L,deequ_repeats,5
mutation_7_validation_E,deequ_sec,0.548
mutation_7_validation_E,deequ_sec_std,0.027
mutation_7_validation_E,deequ_cpu,2.9
mutation_7_validation_E,deequ_cpu_std,0.874
mutation_7_validation_E,deequ_ram_kb,270276.0
mutation_7_validation_E,deequ_ram_kb_std,0.0
mutation_7_validation_E,deequ_checks,17
mutation_7_validation_E,deequ_failed,6
mutation_7_validation_E,deequ_repeats,5
mutation_7_validation_T,deequ_sec,0.385
mutation_7_validation_T,deequ_sec_std,0.03
