stage,metric,value
load,duration_sec,49.267
load,areas_rows,15
load,competitions_rows,10
load,teams_rows,800
load,matches_rows,15200
load,standings_rows,800
validation_E,gx_sec,2.539
validation_E,gx_sec_std,0.37
validation_E,gx_cpu,0.76
validation_E,gx_cpu_std,0.185
validation_E,gx_ram_kb,261317.2
validation_E,gx_ram_kb_std,4.665
validation_E,gx_checks,15
validation_E,gx_failed,1
validation_E,gx_repeats,5
validation_T,gx_sec,3.39
validation_T,gx_sec_std,0.046
validation_T,gx_cpu,0.66
validation_T,gx_cpu_std,0.12
validation_T,gx_ram_kb,261335.2
validation_T,gx_ram_kb_std,2.713
validation_T,gx_checks,19
validation_T,gx_failed,2
validation_T,gx_repeats,5
validation_L,gx_sec,0.581
validation_L,gx_sec_std,0.037
validation_L,gx_cpu,0.66
validation_L,gx_cpu_std,0.814
validation_L,gx_ram_kb,261340.0
validation_L,gx_ram_kb_std,0.0
validation_L,gx_checks,3
validation_L,gx_failed,0
validation_L,gx_repeats,5
mutation_1_validation_E,gx_sec,0.604
mutation_1_validation_E,gx_sec_std,0.061
mutation_1_validation_E,gx_cpu,2.96
mutation_1_validation_E,gx_cpu_std,1.209
mutation_1_validation_E,gx_ram_kb,269452.0
mutation_1_validation_E,gx_ram_kb_std,0.0
mutation_1_validation_E,gx_checks,15
mutation_1_validation_E,gx_failed,5
mutation_1_validation_E,gx_repeats,5
mutation_1_validation_T,gx_sec,0.74
mutation_1_validation_T,gx_sec_std,0.018
mutation_1_validation_T,gx_cpu,2.14
mutation_1_validation_T,gx_cpu_std,0.647
mutation_1_validation_T,gx_ram_kb,269452.0
mutation_1_validation_T,gx_ram_kb_std,0.0
mutation_1_validation_T,gx_checks,19
mutation_1_validation_T,gx_failed,6
mutation_1_validation_T,gx_repeats,5
mutation_1_validation_L,gx_sec,0.117
mutation_1_validation_L,gx_sec_std,0.011
mutation_1_validation_L,gx_cpu,3.74
mutation_1_validation_L,gx_cpu_std,4.589
mutation_1_validation_L,gx_ram_kb,269452.0
mutation_1_validation_L,gx_ram_kb_std,0.0
mutation_1_validation_L,gx_checks,3
mutation_1_validation_L,gx_failed,1
mutation_1_validation_L,gx_repeats,5
mutation_2_validation_E,gx_sec,0.561
mutation_2_validation_E,gx_sec_std,0.039
mutation_2_validation_E,gx_cpu,2.86
mutation_2_validation_E,gx_cpu_std,0.855
mutation_2_validation_E,gx_ram_kb,270932.0
mutation_2_validation_E,gx_ram_kb_std,0.0
mutation_2_validation_E,gx_checks,15
mutation_2_validation_E,gx_failed,2
mutation_2_validation_E,gx_repeats,5
mutation_2_validation_T,gx_sec,0.698
mutation_2_validation_T,gx_sec_std,0.029
mutation_2_validation_T,gx_cpu,2.26
mutation_2_validation_T,gx_cpu_std,1.132
mutation_2_validation_T,gx_ram_kb,270932.0
mutation_2_validation_T,gx_ram_kb_std,0.0
mutation_2_validation_T,gx_checks,19
mutation_2_validation_T,gx_failed,3
mutation_2_validation_T,gx_repeats,5
mutation_2_validation_L,gx_sec,0.109
mutation_2_validation_L,gx_sec_std,0.019
mutation_2_validation_L,gx_cpu,3.04
mutation_2_validation_L,gx_cpu_std,6.08
mutation_2_validation_L,gx_ram_kb,270936.0
mutation_2_validation_L,gx_ram_kb_std,0.0
mutation_2_validation_L,gx_checks,3
mutation_2_validation_L,gx_failed,0
mutation_2_validation_L,gx_repeats,5
mutation_3_validation_E,gx_sec,0.528
mutation_3_validation_E,gx_sec_std,0.048
mutation_3_validation_E,gx_cpu,2.7
mutation_3_validation_E,gx_cpu_std,1.033
mutation_3_validation_E,gx_ram_kb,269876.0
mutation_3_validation_E,gx_ram_kb_std,0.0
mutation_3_validation_E,gx_checks,15
mutation_3_validation_E,gx_failed,4
mutation_3_validation_E,gx_repeats,5
mutation_3_validation_T,gx_sec,0.676
mutation_3_validation_T,gx_sec_std,0.01
mutation_3_validation_T,gx_cpu,2.66
mutation_3_validation_T,gx_cpu_std,0.582
mutation_3_validation_T,gx_ram_kb,269876.0
mutation_3_validation_T,gx_ram_kb_std,0.0
mutation_3_validation_T,gx_checks,19
mutation_3_validation_T,gx_failed,5
