stage,metric,value
load,duration_sec,49.446
load,areas_rows,15
load,competitions_rows,10
load,teams_rows,800
load,matches_rows,15200
load,standings_rows,800
validation_E,soda_sec,1.236
validation_E,soda_sec_std,0.291
validation_E,soda_cpu,0.68
validation_E,soda_cpu_std,0.703
validation_E,soda_ram_kb,261694.0
validation_E,soda_ram_kb_std,3.098
validation_E,soda_checks,7
validation_E,soda_failed,0
validation_E,soda_repeats,5
validation_T,soda_sec,1.458
validation_T,soda_sec_std,0.107
validation_T,soda_cpu,0.56
validation_T,soda_cpu_std,0.554
validation_T,soda_ram_kb,261696.0
validation_T,soda_ram_kb_std,0.0
validation_T,soda_checks,5
validation_T,soda_failed,0
validation_T,soda_repeats,5
validation_L,soda_sec,0.622
validation_L,soda_sec_std,0.056
validation_L,soda_cpu,0.66
validation_L,soda_cpu_std,0.809
validation_L,soda_ram_kb,261696.0
validation_L,soda_ram_kb_std,0.0
validation_L,soda_checks,3
validation_L,soda_failed,0
validation_L,soda_repeats,5
mutation_1_validation_E,soda_sec,0.307
mutation_1_validation_E,soda_sec_std,0.042
mutation_1_validation_E,soda_cpu,2.76
mutation_1_validation_E,soda_cpu_std,2.562
mutation_1_validation_E,soda_ram_kb,269836.0
mutation_1_validation_E,soda_ram_kb_std,0.0
mutation_1_validation_E,soda_checks,7
mutation_1_validation_E,soda_failed,2
mutation_1_validation_E,soda_repeats,5
mutation_1_validation_T,soda_sec,0.301
mutation_1_validation_T,soda_sec_std,0.044
mutation_1_validation_T,soda_cpu,2.04
mutation_1_validation_T,soda_cpu_std,1.733
mutation_1_validation_T,soda_ram_kb,269836.0
mutation_1_validation_T,soda_ram_kb_std,0.0
mutation_1_validation_T,soda_checks,5
mutation_1_validation_T,soda_failed,3
mutation_1_validation_T,soda_repeats,5
mutation_1_validation_L,soda_sec,0.123
mutation_1_validation_L,soda_sec_std,0.014
mutation_1_validation_L,soda_cpu,2.94
mutation_1_validation_L,soda_cpu_std,3.624
mutation_1_validation_L,soda_ram_kb,269836.0
mutation_1_validation_L,soda_ram_kb_std,0.0
mutation_1_validation_L,soda_checks,3
mutation_1_validation_L,soda_failed,0
mutation_1_validation_L,soda_repeats,5
mutation_2_validation_E,soda_sec,0.267
mutation_2_validation_E,soda_sec_std,0.025
mutation_2_validation_E,soda_cpu,3.78
mutation_2_validation_E,soda_cpu_std,2.247
mutation_2_validation_E,soda_ram_kb,270812.0
mutation_2_validation_E,soda_ram_kb_std,457.947
mutation_2_validation_E,soda_checks,7
mutation_2_validation_E,soda_failed,0
mutation_2_validation_E,soda_repeats,5
mutation_2_validation_T,soda_sec,0.255
mutation_2_validation_T,soda_sec_std,0.039
mutation_2_validation_T,soda_cpu,2.72
mutation_2_validation_T,soda_cpu_std,3.661
mutation_2_validation_T,soda_ram_kb,270300.0
mutation_2_validation_T,soda_ram_kb_std,0.0
mutation_2_validation_T,soda_checks,5
mutation_2_validation_T,soda_failed,1
