stage,metric,value
load,duration_sec,8.743
load,areas_rows,5
load,competitions_rows,3
load,teams_rows,48
load,matches_rows,228
load,standings_rows,48
validation_E,soda_sec,0.509
validation_E,soda_sec_std,0.167
validation_E,soda_cpu,1.75
validation_E,soda_cpu_std,1.609
validation_E,soda_ram_kb,259990.8
validation_E,soda_ram_kb_std,71.129
validation_E,soda_checks,7
validation_E,soda_failed,0
validation_E,soda_repeats,10
validation_T,deequ_sec,0.722
validation_T,deequ_sec_std,0.088
validation_T,deequ_cpu,1.37
validation_T,deequ_cpu_std,1.123
validation_T,deequ_ram_kb,260041.4
validation_T,deequ_ram_kb_std,5.295
validation_T,deequ_checks,10
validation_T,deequ_failed,1
validation_T,deequ_repeats,10
validation_L,soda_sec,0.183
validation_L,soda_sec_std,0.035
validation_L,soda_cpu,1.91
validation_L,soda_cpu_std,2.946
validation_L,soda_ram_kb,260050.6
validation_L,soda_ram_kb_std,1.8
validation_L,soda_checks,3
validation_L,soda_failed,0
validation_L,soda_repeats,10
mutation_1_validation_E,soda_sec,0.262
mutation_1_validation_E,soda_sec_std,0.037
mutation_1_validation_E,soda_cpu,3.36
mutation_1_validation_E,soda_cpu_std,2.489
mutation_1_validation_E,soda_ram_kb,260325.4
mutation_1_validation_E,soda_ram_kb_std,8.297
mutation_1_validation_E,soda_checks,7
mutation_1_validation_E,soda_failed,2
mutation_1_validation_E,soda_repeats,10
mutation_1_validation_T,deequ_sec,0.441
mutation_1_validation_T,deequ_sec_std,0.031
mutation_1_validation_T,deequ_cpu,2.51
mutation_1_validation_T,deequ_cpu_std,1.634
mutation_1_validation_T,deequ_ram_kb,260332.0
mutation_1_validation_T,deequ_ram_kb_std,0.0
mutation_1_validation_T,deequ_checks,10
mutation_1_validation_T,deequ_failed,5
mutation_1_validation_T,deequ_repeats,10
mutation_1_validation_L,soda_sec,0.118
mutation_1_validation_L,soda_sec_std,0.012
mutation_1_validation_L,soda_cpu,1.91
mutation_1_validation_L,soda_cpu_std,3.828
mutation_1_validation_L,soda_ram_kb,260332.0
mutation_1_validation_L,soda_ram_kb_std,0.0
mutation_1_validation_L,soda_checks,3
mutation_1_validation_L,soda_failed,0
mutation_1_validation_L,soda_repeats,10
mutation_2_validation_E,soda_sec,0.234
mutation_2_validation_E,soda_sec_std,0.011
mutation_2_validation_E,soda_cpu,3.0
mutation_2_validation_E,soda_cpu_std,1.97
mutation_2_validation_E,soda_ram_kb,260344.0
mutation_2_validation_E,soda_ram_kb_std,0.0
mutation_2_validation_E,soda_checks,7
mutation_2_validation_E,soda_failed,0
mutation_2_validation_E,soda_repeats,10
mutation_2_validation_T,deequ_sec,0.402
mutation_2_validation_T,deequ_sec_std,0.023
mutation_2_validation_T,deequ_cpu,2.49
mutation_2_validation_T,deequ_cpu_std,1.555
mutation_2_validation_T,deequ_ram_kb,260344.0
mutation_2_validation_T,deequ_ram_kb_std,0.0
mutation_2_validation_T,deequ_checks,10
mutation_2_validation_T,deequ_failed,3
mutation_2_validation_T,deequ_repeats,10
mutation_2_validation_L,soda_sec,0.11
mutation_2_validation_L,soda_sec_std,0.014
mutation_2_validation_L,soda_cpu,3.08
mutation_2_validation_L,soda_cpu_std,4.71
mutation_2_validation_L,soda_ram_kb,260348.0
mutation_2_validation_L,soda_ram_kb_std,0.0
mutation_2_validation_L,soda_checks,3
mutation_2_validation_L,soda_failed,0
mutation_2_validation_L,soda_repeats,10
mutation_3_validation_E,soda_sec,0.234
mutation_3_validation_E,soda_sec_std,0.013
mutation_3_validation_E,soda_cpu,2.96
mutation_3_validation_E,soda_cpu_std,1.947
mutation_3_validation_E,soda_ram_kb,260362.6
mutation_3_validation_E,soda_ram_kb_std,1.8
mutation_3_validation_E,soda_checks,7
mutation_3_validation_E,soda_failed,1
mutation_3_validation_E,soda_repeats,10
mutation_3_validation_T,deequ_sec,0.403
mutation_3_validation_T,deequ_sec_std,0.018
mutation_3_validation_T,deequ_cpu,2.24
mutation_3_validation_T,deequ_cpu_std,2.067
mutation_3_validation_T,deequ_ram_kb,260364.0
mutation_3_validation_T,deequ_ram_kb_std,0.0
mutation_3_validation_T,deequ_checks,10
mutation_3_validation_T,deequ_failed,2
mutation_3_validation_T,deequ_repeats,10
mutation_3_validation_L,soda_sec,0.11
mutation_3_validation_L,soda_sec_std,0.013
mutation_3_validation_L,soda_cpu,2.42
mutation_3_validation_L,soda_cpu_std,3.701
mutation_3_validation_L,soda_ram_kb,260364.0
mutation_3_validation_L,soda_ram_kb_std,0.0
mutation_3_validation_L,soda_checks,3
mutation_3_validation_L,soda_failed,1
mutation_3_validation_L,soda_repeats,10
mutation_4_validation_E,soda_sec,0.225
mutation_4_validation_E,soda_sec_std,0.021
mutation_4_validation_E,soda_cpu,3.63
mutation_4_validation_E,soda_cpu_std,3.357
mutation_4_validation_E,soda_ram_kb,260388.0
mutation_4_validation_E,soda_ram_kb_std,0.0
mutation_4_validation_E,soda_checks,7
mutation_4_validation_E,soda_failed,2
mutation_4_validation_E,soda_repeats,10
mutation_4_validation_T,deequ_sec,0.383
mutation_4_validation_T,deequ_sec_std,0.037
mutation_4_validation_T,deequ_cpu,2.37
mutation_4_validation_T,deequ_cpu_std,1.864
mutation_4_validation_T,deequ_ram_kb,260388.0
mutation_4_validation_T,deequ_ram_kb_std,0.0
mutation_4_validation_T,deequ_checks,10
mutation_4_validation_T,deequ_failed,5
mutation_4_validation_T,deequ_repeats,10
mutation_4_validation_L,soda_sec,0.099
mutation_4_validation_L,soda_sec_std,0.01
mutation_4_validation_L,soda_cpu,3.11
mutation_4_validation_L,soda_cpu_std,4.752
mutation_4_validation_L,soda_ram_kb,260389.8
mutation_4_validation_L,soda_ram_kb_std,3.842
mutation_4_validation_L,soda_checks,3
mutation_4_validation_L,soda_failed,0
mutation_4_validation_L,soda_repeats,10
mutation_5_validation_E,soda_sec,0.217
mutation_5_validation_E,soda_sec_std,0.023
mutation_5_validation_E,soda_cpu,3.32
mutation_5_validation_E,soda_cpu_std,2.212
mutation_5_validation_E,soda_ram_kb,260400.0
mutation_5_validation_E,soda_ram_kb_std,0.0
mutation_5_validation_E,soda_checks,7
mutation_5_validation_E,soda_failed,1
mutation_5_validation_E,soda_repeats,10
mutation_5_validation_T,deequ_sec,0.376
mutation_5_validation_T,deequ_sec_std,0.02
mutation_5_validation_T,deequ_cpu,2.43
mutation_5_validation_T,deequ_cpu_std,1.436
mutation_5_validation_T,deequ_ram_kb,260400.0
mutation_5_validation_T,deequ_ram_kb_std,0.0
mutation_5_validation_T,deequ_checks,10
mutation_5_validation_T,deequ_failed,3
mutation_5_validation_T,deequ_repeats,10
mutation_5_validation_L,soda_sec,0.109
mutation_5_validation_L,soda_sec_std,0.018
mutation_5_validation_L,soda_cpu,2.67
mutation_5_validation_L,soda_cpu_std,4.192
mutation_5_validation_L,soda_ram_kb,260400.0
mutation_5_validation_L,soda_ram_kb_std,0.0
mutation_5_validation_L,soda_checks,3
mutation_5_validation_L,soda_failed,0
mutation_5_validation_L,soda_repeats,10
mutation_6_validation_E,soda_sec,0.201
mutation_6_validation_E,soda_sec_std,0.014
mutation_6_validation_E,soda_cpu,3.11
mutation_6_validation_E,soda_cpu_std,3.53
mutation_6_validation_E,soda_ram_kb,260400.0
mutation_6_validation_E,soda_ram_kb_std,0.0
mutation_6_validation_E,soda_checks,7
mutation_6_validation_E,soda_failed,2
mutation_6_validation_E,soda_repeats,10
mutation_6_validation_T,deequ_sec,0.353
mutation_6_validation_T,deequ_sec_std,0.006
