stage,metric,value
load,duration_sec,8.989
load,areas_rows,5
load,competitions_rows,3
load,teams_rows,48
load,matches_rows,228
load,standings_rows,48
validation_E,soda_sec,0.496
validation_E,soda_sec_std,0.161
validation_E,soda_cpu,1.91
validation_E,soda_cpu_std,1.569
validation_E,soda_ram_kb,260171.6
validation_E,soda_ram_kb_std,68.736
validation_E,soda_checks,7
validation_E,soda_failed,0
validation_E,soda_repeats,10
validation_T,sql_sec,0.579
validation_T,sql_sec_std,0.097
validation_T,sql_cpu,1.46
validation_T,sql_cpu_std,1.375
validation_T,sql_ram_kb,260217.8
validation_T,sql_ram_kb_std,4.936
validation_T,sql_checks,7
validation_T,sql_failed,1
validation_T,sql_repeats,10
validation_L,soda_sec,0.184
validation_L,soda_sec_std,0.028
validation_L,soda_cpu,2.24
validation_L,soda_cpu_std,3.901
validation_L,soda_ram_kb,260222.8
validation_L,soda_ram_kb_std,2.04
validation_L,soda_checks,3
validation_L,soda_failed,0
validation_L,soda_repeats,10
mutation_1_validation_E,soda_sec,0.266
mutation_1_validation_E,soda_sec_std,0.029
mutation_1_validation_E,soda_cpu,2.54
mutation_1_validation_E,soda_cpu_std,2.345
mutation_1_validation_E,soda_ram_kb,260490.4
mutation_1_validation_E,soda_ram_kb_std,6.8
mutation_1_validation_E,soda_checks,7
mutation_1_validation_E,soda_failed,2
mutation_1_validation_E,soda_repeats,10
mutation_1_validation_T,sql_sec,0.337
mutation_1_validation_T,sql_sec_std,0.028
mutation_1_validation_T,sql_cpu,2.61
mutation_1_validation_T,sql_cpu_std,1.985
mutation_1_validation_T,sql_ram_kb,260496.0
mutation_1_validation_T,sql_ram_kb_std,0.0
mutation_1_validation_T,sql_checks,7
mutation_1_validation_T,sql_failed,5
mutation_1_validation_T,sql_repeats,10
mutation_1_validation_L,soda_sec,0.122
mutation_1_validation_L,soda_sec_std,0.013
mutation_1_validation_L,soda_cpu,3.26
mutation_1_validation_L,soda_cpu_std,5.393
mutation_1_validation_L,soda_ram_kb,260496.0
mutation_1_validation_L,soda_ram_kb_std,0.0
mutation_1_validation_L,soda_checks,3
mutation_1_validation_L,soda_failed,0
mutation_1_validation_L,soda_repeats,10
mutation_2_validation_E,soda_sec,0.243
mutation_2_validation_E,soda_sec_std,0.008
mutation_2_validation_E,soda_cpu,2.44
mutation_2_validation_E,soda_cpu_std,1.994
mutation_2_validation_E,soda_ram_kb,260508.0
mutation_2_validation_E,soda_ram_kb_std,0.0
mutation_2_validation_E,soda_checks,7
mutation_2_validation_E,soda_failed,0
mutation_2_validation_E,soda_repeats,10
mutation_2_validation_T,sql_sec,0.306
mutation_2_validation_T,sql_sec_std,0.014
mutation_2_validation_T,sql_cpu,2.6
mutation_2_validation_T,sql_cpu_std,1.307
mutation_2_validation_T,sql_ram_kb,260508.0
mutation_2_validation_T,sql_ram_kb_std,0.0
mutation_2_validation_T,sql_checks,7
mutation_2_validation_T,sql_failed,2
mutation_2_validation_T,sql_repeats,10
mutation_2_validation_L,soda_sec,0.116
mutation_2_validation_L,soda_sec_std,0.025
mutation_2_validation_L,soda_cpu,2.5
mutation_2_validation_L,soda_cpu_std,3.978
mutation_2_validation_L,soda_ram_kb,260512.0
mutation_2_validation_L,soda_ram_kb_std,0.0
mutation_2_validation_L,soda_checks,3
mutation_2_validation_L,soda_failed,0
mutation_2_validation_L,soda_repeats,10
mutation_3_validation_E,soda_sec,0.227
mutation_3_validation_E,soda_sec_std,0.014
mutation_3_validation_E,soda_cpu,2.66
mutation_3_validation_E,soda_cpu_std,2.178
mutation_3_validation_E,soda_ram_kb,260524.0
mutation_3_validation_E,soda_ram_kb_std,0.0
mutation_3_validation_E,soda_checks,7
mutation_3_validation_E,soda_failed,1
mutation_3_validation_E,soda_repeats,10
mutation_3_validation_T,sql_sec,0.29
mutation_3_validation_T,sql_sec_std,0.01
mutation_3_validation_T,sql_cpu,2.36
mutation_3_validation_T,sql_cpu_std,2.138
mutation_3_validation_T,sql_ram_kb,260524.0
mutation_3_validation_T,sql_ram_kb_std,0.0
mutation_3_validation_T,sql_checks,7
mutation_3_validation_T,sql_failed,2
mutation_3_validation_T,sql_repeats,10
mutation_3_validation_L,soda_sec,0.109
mutation_3_validation_L,soda_sec_std,0.015
mutation_3_validation_L,soda_cpu,1.92
mutation_3_validation_L,soda_cpu_std,3.866
mutation_3_validation_L,soda_ram_kb,260525.4
mutation_3_validation_L,soda_ram_kb_std,1.8
mutation_3_validation_L,soda_checks,3
mutation_3_validation_L,soda_failed,1
mutation_3_validation_L,soda_repeats,10
mutation_4_validation_E,soda_sec,0.23
mutation_4_validation_E,soda_sec_std,0.021
mutation_4_validation_E,soda_cpu,2.91
mutation_4_validation_E,soda_cpu_std,3.126
mutation_4_validation_E,soda_ram_kb,260560.0
