stage,metric,value
load,duration_sec,9.175
load,areas_rows,5
load,competitions_rows,3
load,teams_rows,48
load,matches_rows,228
load,standings_rows,48
validation_E,deequ_sec,1.067
validation_E,deequ_sec_std,0.246
validation_E,deequ_cpu,2.0
validation_E,deequ_cpu_std,0.654
validation_E,deequ_ram_kb,260055.6
validation_E,deequ_ram_kb_std,73.966
validation_E,deequ_checks,17
validation_E,deequ_failed,1
validation_E,deequ_repeats,10
validation_T,deequ_sec,0.704
validation_T,deequ_sec_std,0.064
validation_T,deequ_cpu,1.44
validation_T,deequ_cpu_std,0.891
validation_T,deequ_ram_kb,260098.6
validation_T,deequ_ram_kb_std,1.8
validation_T,deequ_checks,10
validation_T,deequ_failed,1
validation_T,deequ_repeats,10
validation_L,deequ_sec,0.276
validation_L,deequ_sec_std,0.035
validation_L,deequ_cpu,1.8
validation_L,deequ_cpu_std,1.805
validation_L,deequ_ram_kb,260101.0
validation_L,deequ_ram_kb_std,1.612
validation_L,deequ_checks,5
validation_L,deequ_failed,0
validation_L,deequ_repeats,10
mutation_1_validation_E,deequ_sec,0.596
mutation_1_validation_E,deequ_sec_std,0.03
mutation_1_validation_E,deequ_cpu,2.68
mutation_1_validation_E,deequ_cpu_std,0.792
mutation_1_validation_E,deequ_ram_kb,260371.8
mutation_1_validation_E,deequ_ram_kb_std,8.964
mutation_1_validation_E,deequ_checks,17
mutation_1_validation_E,deequ_failed,5
mutation_1_validation_E,deequ_repeats,10
mutation_1_validation_T,deequ_sec,0.407
mutation_1_validation_T,deequ_sec_std,0.03
mutation_1_validation_T,deequ_cpu,2.46
mutation_1_validation_T,deequ_cpu_std,1.545
mutation_1_validation_T,deequ_ram_kb,260376.0
mutation_1_validation_T,deequ_ram_kb_std,0.0
mutation_1_validation_T,deequ_checks,10
mutation_1_validation_T,deequ_failed,5
mutation_1_validation_T,deequ_repeats,10
mutation_1_validation_L,deequ_sec,0.159
mutation_1_validation_L,deequ_sec_std,0.013
mutation_1_validation_L,deequ_cpu,3.17
mutation_1_validation_L,deequ_cpu_std,4.375
mutation_1_validation_L,deequ_ram_kb,260376.0
mutation_1_validation_L,deequ_ram_kb_std,0.0
mutation_1_validation_L,deequ_checks,5
mutation_1_validation_L,deequ_failed,0
mutation_1_validation_L,deequ_repeats,10
mutation_2_validation_E,deequ_sec,0.576
mutation_2_validation_E,deequ_sec_std,0.03
mutation_2_validation_E,deequ_cpu,2.95
mutation_2_validation_E,deequ_cpu_std,1.084
mutation_2_validation_E,deequ_ram_kb,260400.0
mutation_2_validation_E,deequ_ram_kb_std,0.0
mutation_2_validation_E,deequ_checks,17
mutation_2_validation_E,deequ_failed,1
mutation_2_validation_E,deequ_repeats,10
mutation_2_validation_T,deequ_sec,0.41
mutation_2_validation_T,deequ_sec_std,0.018
mutation_2_validation_T,deequ_cpu,2.48
mutation_2_validation_T,deequ_cpu_std,1.168
mutation_2_validation_T,deequ_ram_kb,260400.0
mutation_2_validation_T,deequ_ram_kb_std,0.0
mutation_2_validation_T,deequ_checks,10
mutation_2_validation_T,deequ_failed,3
mutation_2_validation_T,deequ_repeats,10
mutation_2_validation_L,deequ_sec,0.166
mutation_2_validation_L,deequ_sec_std,0.014
mutation_2_validation_L,deequ_cpu,3.5
mutation_2_validation_L,deequ_cpu_std,3.871
mutation_2_validation_L,deequ_ram_kb,260404.0
mutation_2_validation_L,deequ_ram_kb_std,0.0
mutation_2_validation_L,deequ_checks,5
mutation_2_validation_L,deequ_failed,0
mutation_2_validation_L,deequ_repeats,10
mutation_3_validation_E,deequ_sec,0.54
mutation_3_validation_E,deequ_sec_std,0.02
mutation_3_validation_E,deequ_cpu,2.97
mutation_3_validation_E,deequ_cpu_std,1.193
mutation_3_validation_E,deequ_ram_kb,260420.0
mutation_3_validation_E,deequ_ram_kb_std,0.0
mutation_3_validation_E,deequ_checks,17
mutation_3_validation_E,deequ_failed,2
mutation_3_validation_E,deequ_repeats,10
mutation_3_validation_T,deequ_sec,0.376
mutation_3_validation_T,deequ_sec_std,0.014
mutation_3_validation_T,deequ_cpu,2.39
mutation_3_validation_T,deequ_cpu_std,1.887
mutation_3_validation_T,deequ_ram_kb,260420.0
mutation_3_validation_T,deequ_ram_kb_std,0.0
mutation_3_validation_T,deequ_checks,10
mutation_3_validation_T,deequ_failed,2
mutation_3_validation_T,deequ_repeats,10
mutation_3_validation_L,deequ_sec,0.165
mutation_3_validation_L,deequ_sec_std,0.017
mutation_3_validation_L,deequ_cpu,3.06
mutation_3_validation_L,deequ_cpu_std,3.092
mutation_3_validation_L,deequ_ram_kb,260420.0
mutation_3_validation_L,deequ_ram_kb_std,0.0
mutation_3_validation_L,deequ_checks,5
mutation_3_validation_L,deequ_failed,1
mutation_3_validation_L,deequ_repeats,10
mutation_4_validation_E,deequ_sec,0.522
mutation_4_validation_E,deequ_sec_std,0.021
mutation_4_validation_E,deequ_cpu,3.07
mutation_4_validation_E,deequ_cpu_std,0.924
mutation_4_validation_E,deequ_ram_kb,260445.8
mutation_4_validation_E,deequ_ram_kb_std,4.045
mutation_4_validation_E,deequ_checks,17
mutation_4_validation_E,deequ_failed,5
mutation_4_validation_E,deequ_repeats,10
mutation_4_validation_T,deequ_sec,0.379
mutation_4_validation_T,deequ_sec_std,0.026
mutation_4_validation_T,deequ_cpu,2.65
mutation_4_validation_T,deequ_cpu_std,0.169
mutation_4_validation_T,deequ_ram_kb,260448.0
mutation_4_validation_T,deequ_ram_kb_std,0.0
mutation_4_validation_T,deequ_checks,10
mutation_4_validation_T,deequ_failed,5
mutation_4_validation_T,deequ_repeats,10
mutation_4_validation_L,deequ_sec,0.154
mutation_4_validation_L,deequ_sec_std,0.011
mutation_4_validation_L,deequ_cpu,3.14
mutation_4_validation_L,deequ_cpu_std,4.211
mutation_4_validation_L,deequ_ram_kb,260448.0
mutation_4_validation_L,deequ_ram_kb_std,0.0
mutation_4_validation_L,deequ_checks,5
mutation_4_validation_L,deequ_failed,0
mutation_4_validation_L,deequ_repeats,10
mutation_5_validation_E,deequ_sec,0.525
mutation_5_validation_E,deequ_sec_std,0.032
mutation_5_validation_E,deequ_cpu,3.03
mutation_5_validation_E,deequ_cpu_std,0.883
mutation_5_validation_E,deequ_ram_kb,260448.0
mutation_5_validation_E,deequ_ram_kb_std,0.0
mutation_5_validation_E,deequ_checks,17
mutation_5_validation_E,deequ_failed,2
mutation_5_validation_E,deequ_repeats,10
mutation_5_validation_T,deequ_sec,0.373
mutation_5_validation_T,deequ_sec_std,0.018
mutation_5_validation_T,deequ_cpu,2.39
mutation_5_validation_T,deequ_cpu_std,1.889
mutation_5_validation_T,deequ_ram_kb,260448.0
mutation_5_validation_T,deequ_ram_kb_std,0.0
mutation_5_validation_T,deequ_checks,10
mutation_5_validation_T,deequ_failed,3
mutation_5_validation_T,deequ_repeats,10
mutation_5_validation_L,deequ_sec,0.157
mutation_5_validation_L,deequ_sec_std,0.015
mutation_5_validation_L,deequ_cpu,2.58
mutation_5_validation_L,deequ_cpu_std,3.187
mutation_5_validation_L,deequ_ram_kb,260448.0
mutation_5_validation_L,deequ_ram_kb_std,0.0
mutation_5_validation_L,deequ_checks,5
mutation_5_validation_L,deequ_failed,0
mutation_5_validation_L,deequ_repeats,10
mutation_6_validation_E,deequ_sec,0.503
mutation_6_validation_E,deequ_sec_std,0.031
mutation_6_validation_E,deequ_cpu,3.17
mutation_6_validation_E,deequ_cpu_std,1.545
mutation_6_validation_E,deequ_ram_kb,260459.4
mutation_6_validation_E,deequ_ram_kb_std,1.8
mutation_6_validation_E,deequ_checks,17
mutation_6_validation_E,deequ_failed,3
mutation_6_validation_E,deequ_repeats,10
mutation_6_validation_T,deequ_sec,0.347
mutation_6_validation_T,deequ_sec_std,0.015
mutation_6_validation_T,deequ_cpu,2.59
mutation_6_validation_T,deequ_cpu_std,2.03
mutation_6_validation_T,deequ_ram_kb,260460.0
mutation_6_validation_T,deequ_ram_kb_std,0.0
mutation_6_validation_T,deequ_checks,10
mutation_6_validation_T,deequ_failed,2
mutation_6_validation_T,deequ_repeats,10
mutation_6_validation_L,deequ_sec,0.15
mutation_6_validation_L,deequ_sec_std,0.013
mutation_6_validation_L,deequ_cpu,3.23
mutation_6_validation_L,deequ_cpu_std,3.253
mutation_6_validation_L,deequ_ram_kb,260460.0
mutation_6_validation_L,deequ_ram_kb_std,0.0
mutation_6_validation_L,deequ_checks,5
mutation_6_validation_L,deequ_failed,1
mutation_6_validation_L,deequ_repeats,10
mutation_7_validation_E,deequ_sec,0.496
mutation_7_validation_E,deequ_sec_std,0.016
mutation_7_validation_E,deequ_cpu,3.25
mutation_7_validation_E,deequ_cpu_std,1.003
mutation_7_validation_E,deequ_ram_kb,260500.0
mutation_7_validation_E,deequ_ram_kb_std,0.0
mutation_7_validation_E,deequ_checks,17
mutation_7_validation_E,deequ_failed,6
mutation_7_validation_E,deequ_repeats,10
mutation_7_validation_T,deequ_sec,0.349
mutation_7_validation_T,deequ_sec_std,0.014
mutation_7_validation_T,deequ_cpu,2.61
mutation_7_validation_T,deequ_cpu_std,2.031
mutation_7_validation_T,deequ_ram_kb,260500.0
mutation_7_validation_T,deequ_ram_kb_std,0.0
mutation_7_validation_T,deequ_checks,10
mutation_7_validation_T,deequ_failed,5
mutation_7_validation_T,deequ_repeats,10
mutation_7_validation_L,deequ_sec,0.154
mutation_7_validation_L,deequ_sec_std,0.009
mutation_7_validation_L,deequ_cpu,3.32
mutation_7_validation_L,deequ_cpu_std,3.329
mutation_7_validation_L,deequ_ram_kb,260500.0
mutation_7_validation_L,deequ_ram_kb_std,0.0
mutation_7_validation_L,deequ_checks,5
mutation_7_validation_L,deequ_failed,0
mutation_7_validation_L,deequ_repeats,10
mutation_8_validation_E,deequ_sec,0.488
mutation_8_validation_E,deequ_sec_std,0.014
mutation_8_validation_E,deequ_cpu,3.09
mutation_8_validation_E,deequ_cpu_std,1.696
mutation_8_validation_E,deequ_ram_kb,260500.0
mutation_8_validation_E,deequ_ram_kb_std,0.0
mutation_8_validation_E,deequ_checks,17
mutation_8_validation_E,deequ_failed,2
mutation_8_validation_E,deequ_repeats,10
mutation_8_validation_T,deequ_sec,0.348
mutation_8_validation_T,deequ_sec_std,0.02
mutation_8_validation_T,deequ_cpu,3.14
mutation_8_validation_T,deequ_cpu_std,1.999
mutation_8_validation_T,deequ_ram_kb,260501.8
mutation_8_validation_T,deequ_ram_kb_std,1.887
mutation_8_validation_T,deequ_checks,10
mutation_8_validation_T,deequ_failed,4
mutation_8_validation_T,deequ_repeats,10
mutation_8_validation_L,deequ_sec,0.156
mutation_8_validation_L,deequ_sec_std,0.019
mutation_8_validation_L,deequ_cpu,2.56
mutation_8_validation_L,deequ_cpu_std,3.168
mutation_8_validation_L,deequ_ram_kb,260504.0
mutation_8_validation_L,deequ_ram_kb_std,0.0
mutation_8_validation_L,deequ_checks,5
mutation_8_validation_L,deequ_failed,0
mutation_8_validation_L,deequ_repeats,10
mutation_9_validation_E,deequ_sec,0.496
mutation_9_validation_E,deequ_sec_std,0.023
mutation_9_validation_E,deequ_cpu,3.21
mutation_9_validation_E,deequ_cpu_std,1.271
mutation_9_validation_E,deequ_ram_kb,260504.0
mutation_9_validation_E,deequ_ram_kb_std,0.0
mutation_9_validation_E,deequ_checks,17
mutation_9_validation_E,deequ_failed,2
mutation_9_validation_E,deequ_repeats,10
mutation_9_validation_T,deequ_sec,0.353
mutation_9_validation_T,deequ_sec_std,0.013
mutation_9_validation_T,deequ_cpu,2.55
mutation_9_validation_T,deequ_cpu_std,1.554
mutation_9_validation_T,deequ_ram_kb,260524.0
mutation_9_validation_T,deequ_ram_kb_std,32.249
mutation_9_validation_T,deequ_checks,10
mutation_9_validation_T,deequ_failed,2
mutation_9_validation_T,deequ_repeats,10
mutation_9_validation_L,deequ_sec,0.155
mutation_9_validation_L,deequ_sec_std,0.015
mutation_9_validation_L,deequ_cpu,3.23
mutation_9_validation_L,deequ_cpu_std,4.603
mutation_9_validation_L,deequ_ram_kb,260584.6
mutation_9_validation_L,deequ_ram_kb_std,1.281
mutation_9_validation_L,deequ_checks,5
mutation_9_validation_L,deequ_failed,0
mutation_9_validation_L,deequ_repeats,10
