stage,metric,value
load,duration_sec,9.074
load,areas_rows,5
load,competitions_rows,3
load,teams_rows,48
load,matches_rows,228
load,standings_rows,48
validation_E,gx_sec,0.99
validation_E,gx_sec_std,0.231
validation_E,gx_cpu,1.95
validation_E,gx_cpu_std,0.862
validation_E,gx_ram_kb,260086.8
validation_E,gx_ram_kb_std,74.491
validation_E,gx_checks,15
validation_E,gx_failed,1
validation_E,gx_repeats,10
validation_T,gx_sec,1.111
validation_T,gx_sec_std,0.069
validation_T,gx_cpu,1.73
validation_T,gx_cpu_std,0.637
validation_T,gx_ram_kb,260130.8
validation_T,gx_ram_kb_std,4.578
validation_T,gx_checks,19
validation_T,gx_failed,2
validation_T,gx_repeats,10
validation_L,gx_sec,0.187
validation_L,gx_sec_std,0.016
validation_L,gx_cpu,2.14
validation_L,gx_cpu_std,2.65
validation_L,gx_ram_kb,260144.4
validation_L,gx_ram_kb_std,3.441
validation_L,gx_checks,3
validation_L,gx_failed,0
validation_L,gx_repeats,10
mutation_1_validation_E,gx_sec,0.558
mutation_1_validation_E,gx_sec_std,0.048
mutation_1_validation_E,gx_cpu,2.69
mutation_1_validation_E,gx_cpu_std,0.826
mutation_1_validation_E,gx_ram_kb,260419.2
mutation_1_validation_E,gx_ram_kb_std,1.833
mutation_1_validation_E,gx_checks,15
mutation_1_validation_E,gx_failed,5
mutation_1_validation_E,gx_repeats,10
mutation_1_validation_T,gx_sec,0.699
mutation_1_validation_T,gx_sec_std,0.046
mutation_1_validation_T,gx_cpu,2.71
mutation_1_validation_T,gx_cpu_std,0.921
mutation_1_validation_T,gx_ram_kb,260420.0
mutation_1_validation_T,gx_ram_kb_std,0.0
mutation_1_validation_T,gx_checks,19
mutation_1_validation_T,gx_failed,6
mutation_1_validation_T,gx_repeats,10
mutation_1_validation_L,gx_sec,0.112
mutation_1_validation_L,gx_sec_std,0.014
mutation_1_validation_L,gx_cpu,3.76
mutation_1_validation_L,gx_cpu_std,4.678
mutation_1_validation_L,gx_ram_kb,260420.0
mutation_1_validation_L,gx_ram_kb_std,0.0
mutation_1_validation_L,gx_checks,3
mutation_1_validation_L,gx_failed,1
mutation_1_validation_L,gx_repeats,10
mutation_2_validation_E,gx_sec,0.519
mutation_2_validation_E,gx_sec_std,0.027
mutation_2_validation_E,gx_cpu,2.88
