stage,metric,value
load,duration_sec,8.841
load,areas_rows,5
load,competitions_rows,3
load,teams_rows,48
load,matches_rows,228
load,standings_rows,48
validation_E,soda_sec,0.485
validation_E,soda_sec_std,0.139
validation_E,soda_cpu,2.06
validation_E,soda_cpu_std,1.252
validation_E,soda_ram_kb,260325.0
validation_E,soda_ram_kb_std,70.44
validation_E,soda_checks,7
validation_E,soda_failed,0
validation_E,soda_repeats,10
validation_T,soda_sec,0.467
validation_T,soda_sec_std,0.074
validation_T,soda_cpu,1.32
validation_T,soda_cpu_std,1.081
validation_T,soda_ram_kb,260358.8
validation_T,soda_ram_kb_std,2.561
validation_T,soda_checks,5
validation_T,soda_failed,0
validation_T,soda_repeats,10
validation_L,soda_sec,0.184
validation_L,soda_sec_std,0.032
validation_L,soda_cpu,0.62
validation_L,soda_cpu_std,1.86
validation_L,soda_ram_kb,260360.0
validation_L,soda_ram_kb_std,0.0
validation_L,soda_checks,3
validation_L,soda_failed,0
validation_L,soda_repeats,10
mutation_1_validation_E,soda_sec,0.268
mutation_1_validation_E,soda_sec_std,0.025
mutation_1_validation_E,soda_cpu,3.09
mutation_1_validation_E,soda_cpu_std,2.35
mutation_1_validation_E,soda_ram_kb,260623.0
mutation_1_validation_E,soda_ram_kb_std,5.459
mutation_1_validation_E,soda_checks,7
mutation_1_validation_E,soda_failed,2
mutation_1_validation_E,soda_repeats,10
mutation_1_validation_T,soda_sec,0.257
mutation_1_validation_T,soda_sec_std,0.022
mutation_1_validation_T,soda_cpu,2.41
mutation_1_validation_T,soda_cpu_std,2.744
mutation_1_validation_T,soda_ram_kb,260628.0
mutation_1_validation_T,soda_ram_kb_std,0.0
mutation_1_validation_T,soda_checks,5
mutation_1_validation_T,soda_failed,3
mutation_1_validation_T,soda_repeats,10
mutation_1_validation_L,soda_sec,0.122
mutation_1_validation_L,soda_sec_std,0.017
mutation_1_validation_L,soda_cpu,1.69
mutation_1_validation_L,soda_cpu_std,3.384
mutation_1_validation_L,soda_ram_kb,260628.0
mutation_1_validation_L,soda_ram_kb_std,0.0
mutation_1_validation_L,soda_checks,3
mutation_1_validation_L,soda_failed,0
mutation_1_validation_L,soda_repeats,10
mutation_2_validation_E,soda_sec,0.252
mutation_2_validation_E,soda_sec_std,0.028
mutation_2_validation_E,soda_cpu,2.81
mutation_2_validation_E,soda_cpu_std,2.516
mutation_2_validation_E,soda_ram_kb,260652.0
mutation_2_validation_E,soda_ram_kb_std,0.0
mutation_2_validation_E,soda_checks,7
mutation_2_validation_E,soda_failed,0
mutation_2_validation_E,soda_repeats,10
mutation_2_validation_T,soda_sec,0.247
mutation_2_validation_T,soda_sec_std,0.019
mutation_2_validation_T,soda_cpu,2.9
mutation_2_validation_T,soda_cpu_std,3.328
mutation_2_validation_T,soda_ram_kb,260652.0
mutation_2_validation_T,soda_ram_kb_std,0.0
mutation_2_validation_T,soda_checks,5
mutation_2_validation_T,soda_failed,1
mutation_2_validation_T,soda_repeats,10
mutation_2_validation_L,soda_sec,0.116
mutation_2_validation_L,soda_sec_std,0.017
mutation_2_validation_L,soda_cpu,2.76
mutation_2_validation_L,soda_cpu_std,4.24
mutation_2_validation_L,soda_ram_kb,260656.0
mutation_2_validation_L,soda_ram_kb_std,0.0
mutation_2_validation_L,soda_checks,3
mutation_2_validation_L,soda_failed,0
mutation_2_validation_L,soda_repeats,10
mutation_3_validation_E,soda_sec,0.24
mutation_3_validation_E,soda_sec_std,0.014
mutation_3_validation_E,soda_cpu,2.95
mutation_3_validation_E,soda_cpu_std,2.613
mutation_3_validation_E,soda_ram_kb,260674.6
mutation_3_validation_E,soda_ram_kb_std,1.8
mutation_3_validation_E,soda_checks,7
mutation_3_validation_E,soda_failed,1
mutation_3_validation_E,soda_repeats,10
mutation_3_validation_T,soda_sec,0.248
mutation_3_validation_T,soda_sec_std,0.016
mutation_3_validation_T,soda_cpu,1.95
mutation_3_validation_T,soda_cpu_std,1.956
mutation_3_validation_T,soda_ram_kb,260676.0
mutation_3_validation_T,soda_ram_kb_std,0.0
